source,target,n_forward,n_reverse,normalization_denominator_type,source_normalization_units,target_normalization_units,source_total_country_mentions,target_total_country_mentions,source_rate_per_1000_normalization_units,target_rate_per_1000_normalization_units,source_rate_per_1000_country_mentions,target_rate_per_1000_country_mentions,normalized_ratio,normalized_log_ratio,raw_ratio,ratio,primary_driver,secondary_driver,confidence,rationale,evidence_spans
FIN,TUR,187,2,context_tokens,118109.0,163402.0,2858,3215,1.5832832383645616,0.012239752267414108,65.43037088873338,0.6220839813374806,103.7613560355265,4.642093608885074,62.333333333333336,103.7613560355265,crisis_visibility,,0.85,"FIN mentions TUR frequently in the context of the refugee crisis and assistance to Syrian refugees in Turkey, indicating high visibility of the crisis involving Turkey.","[""We are not assisting Turkey, we are assisting Syrian refugees in Turkey."", ""Turkey also plays an important role from the point of view of Daesh and also from the point of view of the refugee crisis.""]"
PRT,TUR,173,2,context_tokens,118678.0,163402.0,1309,3215,1.4577259475218658,0.012239752267414108,132.16195569136747,0.6220839813374806,95.55350444058713,4.559686346524308,57.666666666666664,95.55350444058713,EU_accession_governance,,0.9,"The mentions focus on Turkey's accession negotiations with the European Union, indicating a governance issue related to EU membership.","[""[2016] Therefore the urgent implementation of this partner is of interest to Europe and Turkey. Europe must take all measures with regard to the regulatory framework, the mobilisation of resources and the fulfilment of visa commitments and the opening of new accession negotiating chapters, as already mentioned."", ""[2017] This is the political balance sheet that is needed in this report and that must be made by the European Union and the European construction process. We know today that the European Parliament has adopted a report proposing that Turkey's accession negotiations to the European Union be interrupted.""]"
FRA,GBR,208,0,context_tokens,89363.0,19911.0,2147,456,2.3275852422143393,0.0,96.8793665579879,0.0,92.91190985083313,4.531651838365244,208.0,92.91190985083313,diaspora_or_historical_ties,,0.75,FRA mentions GBR frequently due to historical ties and current issues like Brexit and migration policies affecting French citizens in the UK.,"[""[2021] The only significant change is that French researchers wishing to settle in the United Kingdom will be subject to the points system which now governs the country's migration policy and will have to demonstrate a minimum income."", ""[2022] Now Julian Assange is detained in Great Britain.""]"
ISL,ITA,105,1,context_tokens,126013.0,163427.0,2992,2847,0.8332473633672717,0.006118939954842223,35.093582887700535,0.3512469265893923,91.2157131936123,4.513227176029023,52.5,91.2157131936123,crisis_visibility,,0.8,"The mentions of Italy focus on migration issues, indicating its visibility as a crisis site. The Netherlands frequently discusses Italy’s role in managing migrants and asylum seekers.","[""[2015] ... I find it very strange to send inmates to Italy ..."", ""[2021] ... there were 70 % cases from individuals who have already received international protection in Europe, such as Hungary, Greece, and Italy ..."", ""[2021] ... Any who intend to apply for asylum in the Netherlands or Norway or France first land in Italy because of the prospect of getting stuck there ..."", ""[2022] ... absolutely away from the food, who should appreciate it, all these defenseless people will not remain in this service because they come from a so-called secure state, such as Greece or Italy ...""]"
ISL,HUN,106,2,context_tokens,126013.0,235783.0,2992,4311,0.841183052542198,0.008482375743798324,35.42780748663102,0.4639294827186268,79.70888559116916,4.378381067551348,35.333333333333336,79.70888559116916,crisis_visibility,,0.9,"ISL frequently mentions HUN in the context of migration crises, while HUN mentions ISL less often, indicating HUN is a visible site of migration issues for ISL.","[""[2020] sending back to the countries that have been mentioned here tonight, Hungary and Bulgaria and Greece"", ""[2021] who come from Greece and Hungary"", ""[2022] fled to neighboring countries, most to Poland, but also to Moldova, Romania, Hungary, and Slovakia""]"
POL,GBR,314,0,context_tokens,158937.0,19911.0,3956,456,1.975625562329728,0.0,79.37310414560162,0.0,78.79863719587007,4.366895702245629,314.0,78.79863719587007,diaspora_or_historical_ties,,0.85,"POL mentions GBR frequently due to historical references and current issues related to UK citizens living in Poland, including labor market regulations and refugee proposals.","[""[2016] Germany paid the last installment of the war reparations of EUR 70 million to France and the United Kingdom for the damage they caused in France as a result of World War I."", ""[2019] These citizens of the United Kingdom of Great Britain and Northern Ireland, who are present in Poland, are probably several thousand and the Polish Government and the Polish Parliament are faced with the necessary regulations relating to access to the labour market, protection of workers' claims."", ""[2019] Such a technical issue in the UK is the physical availability of the UK market through geography, the insularity of the market."", ""[2022] The United Kingdom has put forward a proposal to adopt 100,000 refugees who would reach the British families.""]"
NLD,TUR,2903,15,context_tokens,406569.0,163402.0,13355,3215,7.1402394181553435,0.0917981420056058,217.37177087233246,4.665629860031104,75.28582927517998,4.32129192685919,181.4375,75.28582927517998,crisis_visibility,,0.85,"The mentions of Turkey by the NLD focus on the migration crisis, particularly regarding Syrian children and trafficking. The NLD's discourse highlights Turkey's role in hosting refugees, indicating a high visibility of the crisis.","[""[2016] I understand your concerns on this point, a concern that we share with Turkey from Greece is part of the strategy to solve the problem of trafficking in human beings."", ""[2016] At least half a million Syrian children in Turkey do not attend school, UNICEF said to me in Turkey last summer."", ""[2017] The claim that asylum seekers are sent back to Turkey appears to be nonsense.""]"
NOR,TUR,282,3,context_tokens,188210.0,163402.0,4891,3215,1.4983263376016152,0.01835962840112116,57.65692087507667,0.9331259720062208,70.07531860308013,4.24957064364173,70.5,70.07531860308013,crisis_visibility,,0.85,"NOR frequently mentions TUR in the context of the refugee crisis, highlighting Turkey's role as a migration hub. TUR mentions NOR less often, focusing on broader European issues.","[""[2016] ... The external border of Schengen is also our external border with Turkey ..."", ""[2019] ... That's about. Four million refugees who have come to Turkey ..."", ""[2020] ... asylum seekers are stopped in Turkey and Greece after Europe closed its borders in 2016 ..."", ""[2016] ... Last year in Germany there were 800 attacks on refugee centers ..."", ""[2016] ... I'm not going to describe Breivik, who killed 77 refugees in the island of Utoyo, Norway, as a Christian killer ...""]"
LVA,GBR,67,0,context_tokens,41689.0,19911.0,1112,456,1.6071385737244837,0.0,60.25179856115108,0.0,64.47708028496726,4.166309816232826,67.0,64.47708028496726,diaspora_or_historical_ties,,0.85,"Latvia frequently mentions the UK due to historical ties and the presence of a significant British expatriate community, while the UK does not mention Latvia.","[""[2017] ... We 're talking about England . ..."", ""[2019] ... There is already a competition between European countries on which to provide better conditions for British citizens who live with them - so that their citizens can be best protected in Great Britain after Brexit . ..."", ""[2020] ... Well , I 'm sorry , that ticket is not expensive – 40 - 50 euros , and you 're in Ireland or England , you can choose . ..."", ""[2022] ... This draft law is also designed to accept a person as a Latvian citizen , namely , to recognise Andrew John James as a Latvian citizen of the United Kingdom of Great Britain and Northern Ireland . ...""]"
NLD,GBR,630,0,context_tokens,406569.0,19911.0,13355,456,1.5495524744877254,0.0,47.1733433171097,0.0,61.75525187606533,4.123179022516028,630.0,61.75525187606533,EU_accession_governance,,0.9,"The mentions are primarily about Brexit and EU citizenship issues, indicating governance related to EU accession and its implications.","[""[2018] ... I think it is important for the Prime Minister to make a commitment to buy time ... to ensure that we do not all jump off that cliff and in the meantime continue to think about what we can do from the European side to the causes that have led to the voice for Brexit ..."", ""[2020] ... Either they can continue to live in the UK with their Dutch passport under British foreign law ... or they can apply for British citizenship ... allowing them to fully enjoy the rights of citizens in the UK ..."", ""[2020] ... What is regulated here in terms of civil rights for EU citizens in the UK is the lower limit for what is sufficiently guaranteed ..."", ""[2022] ... Is the cabinet prepared to advocate more action in the EU to also conclude such migration deals ... to contact the UK about the experience?""]"
BEL,GBR,590,0,context_tokens,386113.0,19911.0,11347,456,1.528050078603932,0.0,51.99612232308099,0.0,60.90157803544559,4.109259086292223,590.0,60.90157803544559,crisis_visibility,,0.85,"Belgium frequently mentions the UK in the context of migration crises, particularly illegal transit migrants and border cooperation, indicating the UK's visibility as a crisis site.","[""But Ostend , especially in the last few years of ferry connections to England , has suffered a great deal from illegal transit migrants."", ""Relations with the United Kingdom are political , administrative and operational."", ""How do you assess the existing police cooperation in the border region between Great Britain , France and Belgium?""]"
HRV,UKR,400,0,context_tokens,248043.0,18424.0,4082,441,1.6126236176791928,0.0,97.99118079372856,0.0,59.4962325080732,4.085912991354792,400.0,59.4962325080732,crisis_visibility,,0.95,"HRV mentions UKR extensively due to the ongoing war in Ukraine affecting gas prices and migration, while UKR does not mention HRV as there are no reciprocal issues.","[""[2022] ... how the war in Ukraine will affect gas prices or bakery products in the autumn ..."", ""[2022] ... we help the integration of displaced persons ..."", ""[2022] ... the Ministry of Health has instructed health care institutions to provide health care to Ukrainian citizens ..."", ""[2022] ... the government of the Republic of Croatia is helping within the limits of its own ability to provide refugees and to deliver assistance to Ukraine ... ""]"
SWE,UKR,309,0,context_tokens,205175.0,18424.0,5878,441,1.5060314365785306,0.0,52.56890098673018,0.0,55.58404289021567,4.017896161687204,309.0,55.58404289021567,EU_accession_governance,,0.9,"The mentions are focused on Ukraine's application for EU membership and related humanitarian efforts, indicating a governance and policy focus typical of EU accession processes.","[""[2022] We can now also note that Ukraine has formally applied for membership of the European Union."", ""[2022] It is not just about the importance of this budget – that we are sending support to Ukraine and that we are now receiving the refugees from Ukraine"", ""[2022] Ukraine will take a long time to build up."", ""[2022] In addition to helping on site in Ukraine with materials, supplies and weapons, we also help refugees who have come from Ukraine to Sweden.""]"
SVN,SWE,93,1,context_tokens,242798.0,205175.0,5373,5878,0.3830344566264961,0.004873888144267089,17.308766052484646,0.1701258931609391,52.67441110168398,3.964129779783125,46.5,52.67441110168398,crisis_visibility,,0.85,"SVN mentions SWE frequently in the context of migration crises, while SWE mentions SVN less often, indicating SWE's high visibility as a crisis site.","[""[2019] ... **Sweden is unfortunately very clear evidence for this .** ..."", ""[2019] ... **No country has accepted any more migrants in the field of radical Islam than Sweden .** ..."", ""[2021] ... **From Sweden , entrepreneurs , those with only opportunity , are mass evicted .** ...""]"
BEL,TUR,1387,11,context_tokens,386113.0,163402.0,11347,3215,3.5922126424129726,0.0673186374707776,122.23495196968362,3.421461897356143,51.05968077153354,3.9329951597674233,115.58333333333333,51.05968077153354,crisis_visibility,,0.85,"The mentions of Turkey in Belgium's parliament are primarily related to asylum and refugee policies, indicating a high-salience migration crisis. Belgium frequently discusses Turkey's role in hosting refugees, while Turkey mentions Belgium less often, focusing on broader European issues.","[""[2016] As far as the treatment in Turkey is concerned, you can apply for asylum in Turkey."", ""[2019] As a result, we in Turkey had the space to let other people and families happen, in which case non-Christians too."", ""[2020] Belgium supports the continuation of aid to Turkey for the reception of the four million refugees in its territory."", ""[2022] I am aware of the various reports and reports from Turkey on the return to Syria.""]"
SWE,TUR,1022,16,context_tokens,205175.0,163402.0,5878,3215,4.981113683440965,0.09791801813931286,173.86866281047975,4.976671850699844,49.352856947690626,3.898995655747722,60.11764705882353,49.352856947690626,crisis_visibility,,0.85,"The mentions highlight Sweden's criticism of Turkey's handling of the refugee crisis and human rights issues, indicating a focus on Turkey due to its role as a key migration destination and crisis site.","[""[2016] They then go back to Turkey, and so says the EU, not Turkey: for every person who goes back, we take one from Turkey."", ""[2018] The agreement to stop refugees must be dismantled, and we must dare to make greater demands for human rights to be respected before we continue to trade with Turkey."", ""[2020] It is very important that we have both criticism and cooperation with Turkey.""]"
ISL,SWE,162,5,context_tokens,126013.0,205175.0,2992,5878,1.2855816463380763,0.024369440721335445,54.144385026737964,0.8506294658046955,48.10605760011774,3.873408106814624,27.0,48.10605760011774,diaspora_or_historical_ties,,0.8,"ISL is mentioned frequently in discussions about migration and refugee adjustments, indicating strong ties due to diaspora or historical migration patterns. SWE mentions ISL less often, focusing on broader regional contexts.","[""[2020] How does the Minister consider that people in this position...reaching Iceland than for e.g. to Denmark, Norway, Sweden?"", ""[2021] According to a recent estimate...could be about 35% by the middle of this century if the current trends remain unchanged."", ""[2021] According to a poll...that the adjustment of refugees had not been successful."", ""[2022] For example, last year the Icelandic government received 23 applications per 10,000 people, only eleven in Sweden, five in Finland, four in Denmark, and three in Norway.""]"
EST,UKR,599,1,context_tokens,157005.0,18424.0,3990,441,3.8151651221298684,0.054277029960920535,150.12531328320802,2.2675736961451247,46.899517000520156,3.8480073769028316,299.5,46.899517000520156,diaspora_or_historical_ties,,0.8,"EST mentions UKR frequently due to significant Ukrainian diaspora and historical ties, while UKR mentions EST less often, focusing more on general statements.","[""[2021] Along with the increase in the number of short-term workers from Ukraine, employment and family migration in Ukraine have also increased."", ""[2022] However, we want to be useful to Ukraine's society and state."", ""[2022] If Ukraine is accepted into the European Union, who are these people?"", ""[2022] It is clear that we are very thoroughly checking these people on the eastern border whether they are still coming from Ukraine and what their bases are.""]"
BEL,UKR,447,0,context_tokens,386113.0,18424.0,11347,441,1.1576921781965384,0.0,39.39367233630034,0.0,42.70635798328469,3.7543478080562016,447.0,42.70635798328469,crisis_visibility,,0.95,"The mentions are primarily related to the war in Ukraine and its impact on Belgium, indicating high visibility and relevance of the crisis for Belgian policymakers.","[""[2022] ... Finally, at the request of the government, the National Bank of Belgium – in collaboration with the Federal Office of the Plan, the SPF Economy and the Working Group on Social Impact – has prepared a document containing several indicators to monitor the impact of the war in Ukraine on Belgium: ..."", ""[2022] ... I do that and various crises in Ukraine, Afghanistan and Syria ensure that we see an increased influx of people in need of protection today.""]"
AUT,UKR,177,0,context_tokens,153420.0,18424.0,4062,441,1.153695737192022,0.0,43.574593796159526,0.0,42.6314691695998,3.752592693462649,177.0,42.6314691695998,crisis_visibility,,0.95,"The asymmetry is driven by the high visibility of the Ukrainian refugee crisis in Austria, evidenced by multiple mentions of refugees and sanctions related to Ukraine.","[""[2022] ... This is particularly important with regard to the situation of refugees from Ukraine, because, as we know, many women with their children have come to us and continue to come."", ""[2022] ... I also say on Ukraine."", ""[2022] ... References= This insanity of Putin has begun the attack war on Ukraine on February, and only a few days after that, the European Interior Ministers have put the Temporary Protection Directive into effect, and again only shortly thereafter has this been implemented accordingly at the Austrian l"", ""[2022] ... I also come to Ukraine's war sanctions.""]"
CZE,GRC,401,8,context_tokens,262390.0,230476.0,5740,5257,1.5282594611075118,0.034710772488241726,69.86062717770035,1.5217804831653035,41.49015452974131,3.725456158843537,44.55555555555556,41.49015452974131,crisis_visibility,,0.85,"The mentions of Greece in the Czech Parliament are heavily focused on the refugee crisis, indicating high visibility of the crisis. The Czechs discuss Greece's role in managing refugees extensively.","[""[2016] If the wave of refugees passing through the Balkans is limited, not only Macedonia will be closed, but, of course, Serbia, Croatia, Slovenia, Austria for free passage of refugees"", ""[2020] They were temporarily evacuated to the mainland, but there is no living standard in refugee camps much better, Greece has a long-term problem of ensuring adequate conditions in those camps""]"
NOR,GBR,184,0,context_tokens,188210.0,19911.0,4891,456,0.9776313692152383,0.0,37.62011858515641,0.0,39.03702778810903,3.6645106261699523,184.0,39.03702778810903,diaspora_or_historical_ties,,0.85,"NOR mentions GBR frequently due to historical ties and the significant British diaspora in Norway, while GBR does not mention NOR as it is not a focus of its discourse.","[""[2016] ... Britons most have few problems with foreigners working in the United Kingdom ..."", ""[2017] ... When the United Kingdom chose to leave the EU ..."", ""[2018] ... only the resistance to immigration was behind ..."", ""[2021] ... NOAS , and politicians listen and implement their policies ...""]"
NOR,GRC,649,20,context_tokens,188210.0,230476.0,4891,5257,3.4482758620689653,0.08677693122060431,132.6927008791658,3.8044512079132584,38.797907889604375,3.658366324804451,30.904761904761905,38.797907889604375,crisis_visibility,,0.85,"NOR frequently mentions GRC in the context of a migration crisis, particularly regarding the evacuation of vulnerable individuals from camps in Greece. GRC mentions NOR less often, primarily in relation to financial agreements.","[""[2020] ... ‘ The Government asks the Government to ensure that Norway joins the German initiative on the evacuation of vulnerable and children from refugee camps in Greece now . ’ ..."", ""[2021] ... The question is whether we can relieve a little more distress than what we are willing to do now , that 's what this case is about , and maybe also go ahead to get more countries to relieve Greece . ...""]"
PRT,GBR,107,0,context_tokens,118678.0,19911.0,1309,456,0.9015992854615009,0.0,81.74178762414057,0.0,36.071260048197644,3.5854964277180343,107.0,36.071260048197644,diaspora_or_historical_ties,,0.95,"Portugal frequently mentions the United Kingdom due to significant Portuguese emigration and historical ties, while the UK does not mention Portugal as it is not a major focus.","[""[2017] The Portuguese community is very significant in the United Kingdom."", ""[2018] everything is tempted to make a kind of lesson out of Britain"", ""[2019] aims to contribute to the care of the interests of Portuguese citizens living in the United Kingdom"", ""[2022] disorientation from all governments in England, France, Spain, the Netherlands, the United States and elsewhere""]"
BGR,GBR,90,0,context_tokens,101874.0,19911.0,2075,456,0.8834442546675305,0.0,43.373493975903614,0.0,35.37596442664468,3.566032618535794,90.0,35.37596442664468,diaspora_or_historical_ties,,0.9,"The mentions are focused on Bulgarian citizens residing in the UK post-Brexit, indicating strong diaspora ties and the impact of Brexit on this community.","[""[2019] The citizens of the United Kingdom and the members of their families who, on the day following the date of withdrawal of the United Kingdom from the European Union, have entered and reside legally in the Repub"", ""[2020] As for your question, what measures have we taken to ensure the smooth residence of Bulgarians in Britain after Brexit"", ""[2020] I think you should not underestimate the Bulgarian citizens in Britain"", ""[2020] We will support the draft Council of Ministers with regard to these citizens, namely those subjects of the Kingdom of Great Britain""]"
HRV,GBR,212,0,context_tokens,248043.0,19911.0,4082,456,0.8546905173699721,0.0,51.93532582067614,0.0,34.11575815483606,3.5297593935243636,212.0,34.11575815483606,EU_accession_governance,,0.9,"The mentions are focused on EU withdrawal agreements and reciprocal citizen rights, indicating governance related to EU accession and membership.","[""[2019] So , get out of the EU , for example . As the UK now wants to do , it would mean getting out of the European economic space ."", ""[2020] I just wanted to briefly refer to this question of reciprocity that you pointed out , especially in regulating the status of citizens of the United Kingdom and on the other hand of the EU ."", ""[2020] What is particularly important is that the withdrawing agreement recognises the need for mutual protection , hence mutual protection of EU citizens and citizens of the United Kingdom and members of their families who were entitled to freedom of movement before 31 December 2020 , and guarantees the e"", ""[2021] Each country therefore assumes it has some own idea , however , precisely because of the fact that we have agreed to the withdrawing agreement that those citizens who have had an orderly stay in the UK , EU citizens and vice versa , UK citizens in the Member States , and so on in Croatia , will cont""]"
EST,GRC,100,4,context_tokens,157005.0,230476.0,3990,5257,0.6369223910066558,0.017355386244120863,25.06265664160401,0.7608902415826517,32.7842892476885,3.4899494142885317,20.0,32.7842892476885,crisis_visibility,,0.85,"EST mentions GRC frequently in the context of the migration crisis, while GRC mentions EST primarily for positive examples of EU governance. The high normalized ratio and specific mentions of refugee issues and migration flows indicate crisis visibility as the primary driver.","[""[2015] The main issue that came up was, of course, the issue of refugees burning passion in all the discussion groups today, but the issues of aid and emigration in Greece were also raised."", ""[2016] All right, we understand that Greece and Italy are one of them, but who are the countries that are in favour of a common asylum policy?"", ""[2016] The increased political attention and gear change in the migration crisis and the activities that pushed it from the same period last year have reduced the migration flows between Turkey and Greece by a total of 98% to date."", ""[2020] Just before the crisis, we saw dramatic footage from the Turkish-Greece border, where Turkey assisted immigrants attacking Greek border facilities.""]"
EST,ITA,100,3,context_tokens,157005.0,163427.0,3990,2847,0.6369223910066558,0.01835681986452667,25.06265664160401,1.053740779768177,29.888790620862842,3.397483514482392,25.0,29.888790620862842,crisis_visibility,,0.8,"EST mentions ITA frequently in the context of immigration and refugee crises, while ITA mentions EST mainly in the context of bilateral agreements and readmission policies.","[""[2015] In addition to Greece and Italy, other European countries are also full of immigrants."", ""[2017] I believe that the efforts made by Italy and Libya are important."", ""[2017] While more than 12,000 refugees arrived in Italy a week at the beginning of the Presidency, this figure had already fallen below 2000."", ""[2020] Now that you are asking what kind of aid Estonia is able to provide, for example, with regard to Italy, we can provide assistance primarily within the European Union.""]"
AUT,TUR,371,13,context_tokens,153420.0,163402.0,4062,3215,2.4181984095945768,0.0795583897381917,91.33431806991629,4.043545878693624,29.308962084232583,3.377893342435355,26.5,29.308962084232583,EU_accession_governance,,0.8,"The mentions highlight EU accession negotiations and support for Turkey, indicating governance issues related to EU membership. AUT frequently discusses these topics, while TUR mentions are sporadic.","[""[2017] ... the termination of accession negotiations with Turkey ..."", ""[2019] ... the critical security situation in the Middle East and the Persian Gulf or the recent invasion of Turkey in Syria ! ..."", ""[2022] ... Mr Federal Minister , I welcome your work visits to Turkey and Egypt . ...""]"
HUN,GBR,173,0,context_tokens,235783.0,19911.0,4311,456,0.7337255018385549,0.0,40.12990025516122,0.0,29.30286322593232,3.377685232270215,173.0,29.30286322593232,diaspora_or_historical_ties,,0.9,"The mentions are related to British citizens working and living in Hungary post-Brexit, indicating a significant diaspora or historical ties influencing parliamentary discourse.","[""[2016] For the past five years, I have worked in the UK without a break, first as an employee, then as a caregiver, which I have performed in a self-employed capacity."", ""[2019] These educational and scientific cooperations that you have rightly referred to have been a source of income for the British economy."", ""[2020] The proposal proposes legislation on beneficiaries of residence rights by the end of this year and does not affect the legal status of UK nationals and their family members who subsequently apply for residence."", ""[2020] At its meeting on 3 December 2020, the Legislative Committee discussed the right of residence of UK nationals and their family members in view of the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union.""]"
