parliament_a,parliament_b,policy_similarity,shared_focus,n_a_to_b,n_b_to_a,relation_type,shared_target_cohort,tension_present,tension_nature,rationale,evidence_spans,confidence
BGR,ISL,0.9672,refugees / border_control; refugees / national_security; refugees / international_law,0,13,mutual_complaint,refugees / border_control; refugees / national_security; refugees / international_law,true,mutual_complaining,"The evidence shows that while Bulgaria (BGR) does not mention Iceland (ISL), Iceland frequently complains about Bulgaria's policies towards refugees and border control. This mutual complaining indicates a tension between the two parliaments.","[""[2020] ... So I ask : Is it possible , then , that the bill is proclaiming sending people out of the country , even sending back to the countries that have been mentioned here tonight , Hungary and Bulgaria and Greece , to an even greater extent than before , only because protection has been provided there ? ..."", ""[2022] ... There are also difficult situations in countries such as Italy and Bulgaria , and yet they are only counting on one hand the individuals from which they come . ..."", ""[2022] ... This does not apply to people who are coming from Greece or Hungary or Bulgaria or whatever they are , those countries that are already interpreted as a secure source . ..."", ""[2022] ... So the so - called protection we are talking about from certain states , Greece , in some places in Greece , Malta , Hungary , Bulgaria . ...""]",0.85
GRC,BGR,0.9671,refugees / border_control; refugees / national_security; refugees / international_law,80,184,mutual_complaint,refugees / border_control; refugees / national_security; refugees / international_law,true,mutual_complaint,"Both Greece (GRC) and Bulgaria (BGR) frequently mention each other in negative terms regarding the handling of refugees and border control. Greece complains about Bulgaria's vetoes and the lack of respect for agreements, while Bulgaria mentions the pressure on Greece and the need to prevent refugee waves. These complaints suggest a mutual dissatisfaction and criticism.","[{""direction"": ""GRC->BGR"", ""text"": ""Unfortunately, more than 70% of enterprises have relocated to Bulgaria."", ""year"": 2016}, {""direction"": ""GRC->BGR"", ""text"": ""Even wage labour in agricultural production is imported, since they usually employ migrants from Albania, Bulgaria, Romania, Skopje, Pakistan, India, Iran and many other countries, exporting much of their income to their home countries at the expense of our economy."", ""year"": 2021}, {""direction"": ""BGR->GRC"", ""text"": ""If only Turkey had not stopped, if you remember a large group of refugees had come to Adrianople and was ready to continue either to Bulgaria or to Greece, if then hard measures had not been taken to bring this group back, if the policy had not been serious and consistently directed towards limit"", ""year"": 2019}, {""direction"": ""BGR->GRC"", ""text"": ""Our efforts are aimed at preventing such a wave and continuing the Agreement, which has been between the European Union and Turkey since 2016, March, which, in relation to Bulgaria, works, although with regard to Greece, according to data from Greek colleagues, is not respected."", ""year"": 2020}]",0.85
BIH,PRT,0.9666,refugees / international_law; refugees / national_security; refugees / border_control,0,1,silent_convergence,refugees,false,,"The two parliaments have a high cosine similarity in their migration policies, focusing on refugees and related issues such as international law, national security, and border control. However, there is very little cross-mention between them, suggesting that this convergence may be externally driven rather than due to direct interaction or modeling.","[{""country"": ""BIH"", ""direction"": ""->"", ""count"": 0}, {""country"": ""PRT"", ""direction"": ""<-"", ""count"": 1}]",0.8
HUN,HRV,0.9637,refugees / border_control; refugees / national_security; economic_migrants / integration,95,128,mutual_acknowledged_alignment,"refugees / border_control, refugees / national_security, economic_migrants / integration",false,,Both Hungary and Croatia have shown explicit recognition of each other's policies and actions in the context of migration and border control. The high number of cross-mentions and the presence of direct acknowledgments of each other's policies indicate a mutual alignment and acknowledgment.,"[{""direction"": ""HUN->HRV"", ""spans"": [""[2015] ... However, the President of the State, Kolinda Grabar-Kitarovic, appreciates the fact that Hungary has been a constant witness to its friendship with Croatia since 1990."", ""[2019] ... On 1 July 2013, the Republic of Croatia became a party to the agreements concluded by the European Union and its Member States with the accession of the Republic of Croatia to the European Union and the Protocol on the participation of the Republic of Croatia as a Contracting Party to the Agreement"", ""[2019] ... This is why the news is welcome that Croatia will soon be welcome in the Schengen area if the European Council approves and confirms this decision."", ""[2022] ... Paradoxically, the biggest help is probably the fact that a European Union country, namely Slovenia, decides because the Slovenian Government has decided to break down the fence between Croatia and Slovenia because it will rearrange the routes.""]}, {""direction"": ""HRV->HUN"", ""spans"": [""[2016] ... In fact, Hungary is also a member of the European Union, so it has a policy towards refugees, as I would have if I had shamed their citizen."", ""[2019] ... The same thing Orban did in Hungary."", ""[2020] ... So it was from Italy, Slovenia, Austria, Hungary, the Czech Republic, Romania, Bulgaria, Macedonia, and Montenegro."", ""[2022] ... This Cacic, or Cacic, who was convicted in Hungary, but who executed the punishment in Croatia, the press cameras found, for example, golfing in Istria.""]}]",0.95
GRC,ISL,0.9628,refugees / border_control; refugees / national_security; refugees / international_law,0,384,unilateral_modeling,refugees,false,,"Greece (GRC) does not mention Iceland (ISL) at all, indicating that Iceland is not seen as a model by Greece. However, Iceland frequently mentions Greece in the context of refugee policies, suggesting that Iceland is modeling its policies after Greece's approach to managing refugees. This is evident from the repeated references to Greece's handling of refugees and the criticism of Greece's facilities for refugees.","[""[2020] ... This bill will make it legal if the government can direct people back to Greece and Hungary and Bulgaria, all of whom have been severely criticized for the bad equipment for refugees who look for them, even for refugees who have been assigned to a position of refuge."", ""[2022] ... In many countries where people have freedom to travel to Iceland, such as Greece, there is a tremendous unemployment; there is a 40% unemployment in young people in Greece."", ""[2022] ... It won't solve any problems to bring these people back to the scrap heaps in Greece."", ""[2022] ... However, the minister responsible for hailing people in this system said that they were doing just fine in Greece, the Greek government, just doing pretty well.""]",0.9
NLD,GRC,0.9619,refugees / border_control; refugees / international_law; refugees / national_security,1022,62,silent_convergence,"refugees / border_control, refugees / international_law, refugees / national_security",false,,"The parliaments of NLD and GRC have a high cosine similarity and share several focus areas related to refugees and border control. However, the cross-mentions are relatively low, with NLD mentioning GRC more frequently than vice versa. This suggests that while there is convergence in policy measures, it is not prominently acknowledged or discussed in the parliamentary records.","[{""direction"": ""NLD->GRC"", ""spans"": [""[2016] But again, even if that didn't work, it may be that what the Turks are doing on the west coast, perhaps not with the numbers that we would like to do in conjunction with what Greece is doing and in combination with what is happening in the Balkans, will make you succeed in getting that power un"", ""[2017] Marriage and partnership are clearly verifiable, but does this also apply to these cohabitants in Greece?"", ""[2018] Then it was about people who had gone all the way through the procedure and who had now been found to be able to stay in Greece."", ""[2021] Cooperation with Greece on single minors is a good example of this.""]}, {""direction"": ""GRC->NLD"", ""spans"": [""[2019] I would also remind you that this regulation applies to many countries in Europe, the Netherlands, Belgium, to all the Scandinavian countries, to Slovenia, Lithuania, Spain and Portugal, and to other countries such as Germany and France, it is part of the programme, not only of the Left, b"", ""[2020] It can not understand how crimes of all kinds, such as those of Sweden, Belgium or the Netherlands, will increase sharply, or that it is not possible for a bankrupt country to support illegal people when its own children are forced to leave abroad, depriving our country of any prospect of susta"", ""[2020] There came a charterer, a plane last week from the Netherlands, a charter flight to pick up some refugees, says, from Mytilini, from Moria to the Netherlands."", ""[2021] Norway, the Netherlands, Italy.""]}]",0.3
SVN,LVA,0.9592,refugees / border_control; refugees / national_security; economic_migrants / integration,11,2,silent_convergence,"refugees / border_control, refugees / national_security, economic_migrants / integration",false,,"The two parliaments have a high cosine similarity and share several focus areas related to migration policies. However, there is minimal cross-mention between them, suggesting that their convergence may be due to external factors rather than direct interaction or recognition.","[""[2015] ... The country - by - country review is as follows : 52 from Hungary , 26 Estonia , 20 Czech Republic , 20 Latvia , 20 Lithuania , 20 Slovakia , 14 from Austria , 11 from Germany and 5 from France , and arrangements are under way to conclude an agreement on the participation of foreign police from Roma ..."", ""[2017] ... Latvia 47 percent – to be only at percentages , can then also be in complete numbers . ..."", ""[2019] ... The Republic of Austria , the Republic of Lithuania , the Grand Duchy of Luxembourg , Malta , the Kingdom of the Netherlands , the Republic of Cyprus , the Republic of Latvia , the Republic of Latvia , the Republic of Lithuania , the Grand Duchy of Luxembourg , Malta , the Kingdom of the Netherlands ..."", ""[2019] ... The Republic of Austria , the Republic of Lithuania , the Grand Duchy of Luxembourg , Malta , the Kingdom of the Netherlands , the Republic of Cyprus , the Republic of Latvia , the Republic of Latvia , the Republic of Lithuania , the Grand Duchy of Luxembourg , Malta , the Kingdom of the Netherlands ...""]",0.8
HUN,BGR,0.9589,refugees / border_control; refugees / national_security; refugees / international_law,63,50,diffusion_chain,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both Hungary and Bulgaria share similar policies on border control, national security, and international law regarding refugees. There is evidence of policy transfer, as seen in HUN->BGR mentions where Hungary discusses its practices and infrastructure, and BGR->HUN mentions where Bulgaria acknowledges Hungary's stance. The high cosine similarity and numerous cross-mentions suggest a pattern of policy diffusion rather than direct competition or ideological friction.","[{""direction"": ""HUN->BGR"", ""spans"": [""[2015] ... From Turkey, immigrants arriving on land are the first to cross the borders of the European Union in Greece or Bulgaria, but they are the first to register in Hungary."", ""[2018] ... Compared to the power of Hungary, this is a huge commitment, but it expresses our intentions that we want to help, we are solidarity, and we want to help Serbia, Macedonia, too, if necessary, Bulgaria."", ""[2018] ... In Bulgaria, since 1991, Latvia, since 1992, Lithuania, the basic law also states, like other countries, that marriage comes with the free choice of a man and a woman, the Polish constitution has been there since 97; since 2006, the Serbian Constitution has confirmed this in a referendum i"", ""[2021] ... How can I, since fences are now being built in many European countries, including Spain, Slovenia, Bulgaria, Estonia, Latvia, Lithuania and Poland, as they know that this is the only way to stop migration.""]}, {""direction"": ""BGR->HUN"", ""spans"": [""[2016] ... I would like to remind you that yesterday even the Prime Minister of Hungary at his meeting with the Chancellor of Austria said that Hungary is 100% protected from crossing migrants along the border with Serbia, and that there are 8,000 policemen and soldiers at the Hungarian border with Serbia."", ""[2018] ... The same opinions express Hungary, Poland, Italy and a number of other countries, and the United States withdrew from the Pact."", ""[2019] ... Then skip to Hungary, see Hungarian, skip to Austria, see Austrian, see Croatian, which has just started, not to talk about Macedonian."", ""[2022] ... In Poland the percentage is 50.7, in Romania the percentage is 31, and in Hungary 5.6.""]}]",0.9
HRV,LVA,0.9588,refugees / border_control; refugees / national_security; economic_migrants / integration,4,5,silent_convergence,"refugees / border_control, refugees / national_security, economic_migrants / integration",false,,"The parliaments of HRV and LVA have a high cosine similarity and share similar focus areas in migration policies. However, the cross-mentions are limited, suggesting that the convergence is likely driven by external factors rather than direct interaction or acknowledgment between the two parliaments.","[""HRV->LVA: [2017] Slovakia, Estonia 2014, Latvia 2015 and Lithuania 2016"", ""HRV->LVA: [2017] We can give an example from Latvia, which moved to the euro 1.1.2014, prices started to rise, even several months before the transition to the euro, and continued to grow several months after."", ""HRV->LVA: [2020] As for these other missions, briefly, as far as Poland and the UN itself are concerned, here are the anti-mining forces, normally that participation in some missions that we see may be some closer benefit for the Republic of Croatia, we must participate in UN missions and some missions that may"", ""HRV->LVA: [2021] But we're not even on this route that came here yesterday night by the Polish Prime Minister Moravecki to say he's having a hard time seeing the destabilising of Poland, Lithuania and Latvia, where he's being organised by illegal migrants from Belarus, where the other government is pushing the"", ""LVA->HRV: [2018] The draft resolution states that several countries have not joined this pact, including Croatia."", ""LVA->HRV: [2018] But Croatia has agreed to send its Minister for the Interior ..."", ""LVA->HRV: [2022] In particular, I would like to name Estonia, Croatia, Portugal, which in this way attracts mostly young people working remotely in IT companies and so on, but lives in different countries of the world, driving and driving ..."", ""LVA->HRV: [2022] And there, for example, colleagues from Croatia shared the experience of their country, how such a regulation works.""]",0.6
NLD,SWE,0.9587,refugees / border_control; refugees / international_law; refugees / national_security,94,37,mutual_acknowledged_alignment,refugees / border_control; refugees / international_law; refugees / national_security,false,,"Both the Netherlands (NLD) and Sweden (SWE) have engaged in significant discussions and policy measures related to refugees, border control, international law, and national security. They have shared concerns and strategies, as evidenced by the numerous cross-mentions, particularly regarding the admission of refugees and the challenges of combating human trafficking. The high cosine similarity and the explicit recognition of each other's policies suggest a mutual acknowledgment of alignment.","[{""direction"": ""NLD->SWE"", ""spans"": [""[2015] Then we have just heard that Sweden could get an opt-out, at least that is proposed by the European Commission because enough refugees would have already been admitted."", ""[2018] The fight against trafficking and trafficking in human beings is not easy, because the leaders of organized gangs may be in Libya, the accomplices are in Italy and the victims can be found in the Netherlands, Belgium or Sweden."", ""[2020] However, we managed to make agreements with the Turks, when a very large group of Syrian refugees came here in 2015 and 2016 and they mainly chose Sweden, the Netherlands and Germany in the first place."", ""[2022] I can also tell from colleagues from Germany, Sweden and a number of other countries that they are very much inclined to talk about this.""]}, {""direction"": ""SWE->NLD"", ""spans"": [""[2018] In Holland, the big cities have introduced a begging ban."", ""[2021] However, in Switzerland and the Netherlands, for example, international adoptions are being investigated."", ""[2021] This system already exists in Germany and the Netherlands, for example."", ""[2022] If you want to prove one, you point to Finland, if you want to prove the other, you point to the Netherlands and if you want to prove the third, you point to Norway.""]}]",0.9
SVN,BGR,0.9579,refugees / border_control; refugees / national_security; refugees / international_law,21,2,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"SVN frequently mentions BGR in the context of migration and border control, indicating that SVN is modeling its policies after BGR. However, BGR does not reciprocate this level of interaction, suggesting a one-sided influence.","[""[2016] ... Thus on the Western Balkan route, it is also said that migration through Bulgaria, Serbia to Hungary, is the most powerful point of entry for illegal migrants to Europe today. ..."", ""[2018] ... Among the countries of the European Economic Area are Croatia 6 000 967; Bulgaria 1000 439; Italy 673; Germany 518; Slovakia 276; United Kingdom 224; Austria 212, Romania 188; Hungary 171 and Poland 148. ..."", ""[2020] ... All other countries – Italy, Austria, Hungary, Bulgaria, not to mention them – are also using all the powers to protect their borders in this part of Europe. ..."", ""[2021] ... But if the main migration flows are in Bosnia or Serbia today, those coming from either Greece or Bulgaria to Serbia or Romania there, they rightly say: 'Look, we have to protect the matter at the external border. ...""]",0.8
