target,source,n_mentions,framing_summary
TUR,GRC,1814,"GRC frames Turkey primarily through a risk and administrative lens, emphasizing the EU-Turkey agreement as a fragile and contentious arrangement, and highlighting Turkey’s strategic position in managing immigration. The parliament also portrays Turkey as a negotiator using leverage over Europe.

**Dominant frame:** Risk and administrative framing with an emphasis on the EU-Turkey agreement and Turkey’s strategic position."
TUR,ISL,65,"ISL parliament frames Turkey primarily through a risk and security lens, emphasizing military action, human rights violations, and the threat of refugee influxes. There is little mention of solidarity or administrative procedures. The dominant frame is risk-framing, highlighting threats and security concerns related to Turkey and refugees."
TUR,NLD,2903,"The NLD frames Turkey as a key partner in addressing migration through cooperation and agreements, emphasizing humanitarian concerns and the need for dialogue. Administrative and policy remedies focus on strategic planning and agreements rather than direct restrictions. Dominant frame: Solidarity and cooperation with Turkey."
TUR,SWE,1022,"Sweden frames Turkey as a partner in managing migration, emphasizing financial contributions and agreements, while expressing concern over perceived blackmail and the need for balanced policies. Administrative and policy-remedy framings dominate, with a balance between solidarity and risk framing.

Dominant frame: Administrative and policy-remedy framing with concerns over migration agreements and financial contributions."
TUR,NOR,282,"NORway emphasizes the EU-Turkey agreement as crucial for managing migration, highlighting Turkey’s role in hosting refugees while also expressing caution about recognizing Turkey as a safe third country. The focus is on administrative agreements and procedural aspects rather than humanitarian obligations or security risks. 

**Dominant frame:** Administrative and procedural focus with some acknowledgment of Turkey’s role."
TUR,POL,90,"POL frames Turkey primarily through an administrative and policy-remedy lens, emphasizing agreements and financial compensation for managing migration. There is little risk or solidarity framing. Poland views Turkey as a partner in managing immigration flows and expects reciprocal support.

Dominant frame: Administrative and policy-remedy focus with Turkey as a partner in migration management."
TUR,BGR,512,"Bulgarian parliament frames Turkey in migration debates through administrative and policy-remedy framings, emphasizing agreements and border cooperation while downplaying the risk and solidarity frames. They focus on procedural aspects and bilateral agreements rather than humanitarian concerns or security threats.

Dominant frame: Administrative and Policy-Remedies."
TUR,ITA,164,"The Italian parliament frames Turkey as a strategic and security risk, particularly regarding immigration and energy routes, while occasionally mentioning humanitarian concerns and the need for closer cooperation. Dominant frame: Risk and Security."
TUR,PRT,173,"Portugal frames Turkey as crucial for migration solutions but criticizes the EU-Turkey deal as deresponsibilizing and unethical, highlighting human rights abuses. Risk and solidarity frames are mixed, with strong emphasis on administrative and policy-remedy aspects.

**Dominant frame summary:** Portugal views Turkey as strategically important but condemns the EU-Turkey migration deal as unethical and harmful."
TUR,HRV,238,"HRV frames Turkey as a critical partner for EU migration management, emphasizing cooperation and legal agreements but also highlighting security risks and potential refugee surges. The dominant frame is **administrative and cooperative**, with a balance of risk and solidarity concerns."
TUR,FIN,187,"Finland emphasizes humanitarian assistance to Syrian refugees in Turkey while criticizing Turkey’s internal policies and human rights violations, balancing solidarity with concerns over security and burden. 

**Dominant Frame:** Solidarity with refugees balanced by criticism of Turkey’s internal policies."
TUR,SVN,231,"The Slovakian parliament frames Turkey as a significant security threat, emphasizing potential land invasions and intelligence-led migrations. There is also a mention of Turkey’s influence on EU migration policies and the exacerbation of relationships due to migration flows. The dominant frame is risk-framing, highlighting threats and security concerns."
UKR,SWE,309,"Sweden emphasizes humanitarian support and solidarity with Ukraine, highlighting efforts to assist refugees and support the country’s independence, while also framing the conflict as a security issue requiring sanctions. Dominant frame: Solidarity and humanitarian support with a security dimension."
UKR,AUT,177,"AUT emphasizes humanitarian concerns and solidarity with Ukrainian refugees, highlighting the vulnerability of those fleeing conflict and the need for assistance. There is less focus on administrative procedures or policy remedies beyond expressing support and concern. Dominant frame: Solidarity and humanitarian concern."
UKR,POL,1244,"POL frames the Ukrainian refugee crisis with a strong solidarity and humanitarian emphasis, highlighting volunteer efforts and government support. Administrative measures include tax exemptions for refugees. The focus on ending the conflict and allowing safe returns is also present. Dominant frame: Solidarity and humanitarian action with administrative support."
UKR,GRC,11,"GRC frames Ukraine in migration debates through a mix of risk (crisis, instability) and solidarity (cohesion, unity) framings, with a strong emphasis on administrative challenges (reception, detention). The dominant frame is risk, highlighting geopolitical threats and the strain on EU unity."
UKR,BEL,447,"Belgian parliament focuses on humanitarian concerns and the plight of Ukrainian refugees, emphasizing the need for support and protection, particularly for unaccompanied minors and labor rights. There is less emphasis on administrative procedures or restrictions. The dominant frame is **solidarity and humanitarian concern**."
UKR,FRA,14,"FRA frames Ukraine primarily through humanitarian and solidarity lenses, emphasizing support for refugees and diplomatic efforts to resolve the conflict. Administrative cooperation and financial aid are also mentioned. Risk and burden are minimally framed. Dominant frame: Solidarity and Humanitarian Support."
UKR,NLD,325,"The NLD frames Ukraine migration through humanitarian concerns, mentioning those fleeing violence, but also emphasizes the administrative burden on municipalities and the need for EU cooperation. Risk framing is present but less dominant compared to solidarity and administrative concerns.

**Dominant frame summary:** The NLD balances humanitarian solidarity with administrative and policy challenges in managing Ukrainian migration."
UKR,CZE,997,"The Czech parliament emphasizes humanitarian assistance and proportionate support for Ukrainian refugees while balancing administrative measures and data sharing. Solidarity is framed through specific actions like extending emergency status and improving data pairing, but there is also a focus on proportionality and avoiding long-term burdens. 

**Dominant frame:** Balances humanitarian aid with administrative and proportional measures for Ukrainian refugees."
UKR,ESP,62,"The Spanish parliament emphasizes humanitarian concerns and solidarity with Ukraine, highlighting the security threats posed by Russia’s aggression and the need to support neighboring nations. It also advocates for broader refugee support and criticizes inaction. Dominant frame: Solidarity and Security."
UKR,ISL,270,"ISL parliament emphasizes humanitarian obligations and solidarity, highlighting societal unity and the need for targeted policies to assist Ukrainian refugees. There is also a balance with administrative concerns about system capacity and legal controls. The dominant frame is **solidarity and humanitarian obligation**."
UKR,LVA,127,"LVA frames Ukraine primarily through a solidarity lens, emphasizing humanitarian aid and support for refugees, while also mentioning administrative procedures and potential future EU membership. Risk and burden are minimally addressed. Dominant frame: Solidarity and humanitarian support."
UKR,EST,599,"ESTONIA frames Ukraine as a source of cheap labor and refugees, emphasizing the economic impact on Estonia and the humanitarian need for war refugees. The focus is on managing migration flows and providing support to Ukrainian refugees rather than encouraging further labor migration. Dominant frame: Administrative and policy-remedy framing with a balance of risk and solidarity."
UKR,HUN,273,"Hungary frames Ukraine migration primarily through a solidarity lens, emphasizing humanitarian aid, direct support, and rebuilding efforts. Administrative measures like providing jobs and homes are also highlighted. Risk framing is minimal, focusing more on assistance rather than threats. The dominant frame is **solidarity and humanitarian aid**."
UKR,SVN,92,"The Slovakian parliament frames Ukraine migrants primarily through a solidarity lens, emphasizing humanitarian needs and refugee status, while also addressing administrative procedures like temporary protection. Risk framing is minimal, focusing more on the exploitation of the war situation. The dominant frame is **solidarity and humanitarian concern**."
UKR,TUR,33,"Turkish parliament frames Ukraine primarily through a solidarity lens, emphasizing humanitarian aid, return of citizens, and international appreciation. There is also a balance with administrative framing regarding refugee data and procedures. Risk and administrative frames are less prominent. The dominant frame is **solidarity and humanitarian response**."
UKR,BGR,217,"Bulgarian parliamentarians frame the Ukrainian migration crisis with a balance of risk (e.g., potential influx), solidarity (e.g., humanitarian obligation, welcoming refugees), administrative capacity (e.g., digital coping, funding negotiations), and policy remedies (e.g., allocating EU funds, coordinating aid). 

Dominant frame: **Balanced approach emphasizing both risk management and humanitarian solidarity.**"
UKR,HRV,400,"HRV frames the Ukrainian migration debate with a balance of risk (e.g., economic impacts) and solidarity (e.g., humanitarian needs, empathy), alongside administrative measures (e.g., legal changes, temporary protection). The dominant frame is **solidarity and humanitarian response**."
UKR,SRB,8,"SRB frames Ukraine as a source of instability and potential labor, emphasizing security risks and economic concerns. There is a hint of solidarity but primarily focuses on administrative challenges and the need for border openness. The dominant frame is **risk framing (security, burden)**."
UKR,PRT,116,"PRT frames Ukraine primarily through solidarity and humanitarian lenses, emphasizing support and resources for recovery. There are occasional mentions of security concerns related to border control but these are outweighed by calls for assistance. The dominant frame is **solidarity and humanitarian aid**."
UKR,FIN,37,"Finland frames Ukraine primarily through a risk and administrative lens, mentioning conflicts, crises, and migration policies. There is less emphasis on humanitarian or solidarity aspects. The focus is on managing the situation through procedures and registrations.

**Dominant frame:** Risk and administrative framing with limited humanitarian emphasis."
UKR,ITA,96,"Italy frames the Ukrainian refugee crisis with a balance of humanitarian concern and administrative challenges, emphasizing the need for immediate action and financial support while highlighting potential risks to stability and economic impacts. Dominant frame: Solidarity and administrative burden."
UKR,BIH,17,"BIH frames the Ukrainian migration crisis through a solidarity lens, emphasizing humanitarian obligations and practical measures like extending visa-free stays and introducing alternative entry documents. Administrative actions are prioritized to manage the influx effectively. The dominant frame is **solidarity and administrative action**."
UKR,NOR,295,"Norway emphasizes humanitarian concerns and solidarity with Ukraine, focusing on the needs of children and the broader human impact of the conflict. There is also a balance with administrative and procedural aspects, such as funding and border management. The dominant frame is **solidarity and humanitarian concern**."
SYR,SVN,154,"Slovenian parliament frames Syrian migration through a risk and administrative lens, emphasizing past military interventions and current security concerns. They highlight specific nationalities and past conflicts but downplay humanitarian obligations. Dominant frame: Risk and Administrative Framing."
SYR,PRT,39,"Portugal’s parliament frames Syrian migration through a balance of humanitarian concern, highlighting the need for help and solidarity, while also emphasizing security risks and the role of external interventions. The dominant frame is **solidarity with refugees mixed with security concerns and criticism of external actors**."
SYR,BGR,87,"BGR frames Syrian migrants through a mix of administrative and solidarity framings, emphasizing cooperation and humanitarian aid while also highlighting the burden and complexity of the Syrian crisis. The parliament discusses both procedural agreements and the human suffering, but leans more towards a burden-framed approach.

Dominant frame summary: BGR balances cooperation and burden in its framing of Syrian migrants, with a stronger emphasis on the latter."
SYR,ITA,120,"Italy frames Syria as a source of humanitarian crises and terrorism, emphasizing the need for development cooperation and mine clearance while also highlighting the risks posed by Turkey. The dominant frame is a balance between humanitarian concern and security threats."
SYR,HRV,124,"HRV frames SYR through a risk-framing lens, emphasizing the refugee crisis as a consequence of wars initiated by the West, particularly in Syria. There is little solidarity or administrative focus, instead highlighting skepticism towards Turkey’s role and criticizing the EU’s response. The dominant frame is risk-framing, viewing SYR as a source of instability and refugees."
SYR,NOR,500,"Norway emphasizes humanitarian concerns and funding for Syrian refugees, particularly in neighboring countries like Jordan and Iraq, while downplaying direct risk or burden on Norway itself. It focuses on international cooperation and integration efforts.

**Dominant frame:** Humanitarian and solidarity-focused with a strong emphasis on international cooperation and funding."
SYR,TUR,1082,"Turkish parliament frames Syria as a source of ongoing security threats and humanitarian burdens, emphasizing the need for military intervention to prevent migration. Solidarity is minimal, focusing instead on national security and capacity issues. Policy remedies include military action and managing the ""open-door"" policy. Dominant frame: **Risk and Security Framing with Military Intervention**."
SYR,GRC,257,"GRC frames Syrian migrants primarily through a humanitarian lens, emphasizing the victims of war and conflict, while also highlighting security concerns and the need for careful assessment. The parliament discusses the burden of hosting refugees and questions future influxes, balancing solidarity with administrative caution.

**Dominant frame:** GRC balances humanitarian concern with security and administrative caution regarding Syrian refugees."
SYR,BEL,717,"Belgian parliament frames Syria primarily through a humanitarian lens, emphasizing the scale of the refugee crisis and the need for support, while also discussing administrative procedures and international cooperation. Solidarity and administrative framing are balanced with some risk framing.

Dominant frame: Humanitarian and administrative focus with elements of risk and solidarity."
SYR,SWE,572,"Sweden frames Syria as a source of humanitarian crises and refugees, emphasizing the need for solidarity and acknowledging the burden on neighboring countries like Turkey. The focus is on the suffering caused by conflict and the ongoing influx of refugees. Administrative measures and past experiences with refugees are also discussed. Dominant frame: Solidarity and humanitarian concern with a balance of administrative and historical context."
SYR,FRA,51,"FRA frames Syria as a source of unpredictable risks and potential crises, emphasizing security concerns and the need for caution. It also highlights humanitarian obligations and supports stabilization efforts while criticizing Turkey’s policies. Administrative measures include financial support and condemnation of forced resettlement. The dominant frame is **risk-framed, with a balance of security and humanitarian concerns**."
SYR,BIH,24,"BIH parliament frames Syria as a source of humanitarian concern, emphasizing the isolation and lack of support for Bosnian citizens there, while also mentioning the potential for new waves of refugees. The focus is on the plight of Syrian refugees and the need for action. **Dominant frame: Solidarity and humanitarian concern.**"
SYR,FIN,112,"Finland frames Syria as a security threat and a source of potential radicalization, emphasizing procedural challenges in migration and humanitarian concerns. The parliament discusses both the risks of Syrian refugees and the need for international cooperation to address the root causes of conflict.

**Dominant frame:** Risk and security framing with procedural and humanitarian elements."
SYR,SRB,51,"SRB frames SYR migrants through a balance of humanitarian concerns (solidarity with refugees) and administrative pragmatism (cooperation and capacity). There’s also a risk framing element regarding potential security threats from other nationalities. The dominant frame is **solidarity and cooperation**, emphasizing past economic ties and current humanitarian obligations."
SYR,UKR,11,"UKR frames SYR migration debates with a strong risk framing, emphasizing the burden on Germany and the dangers of illegal migration. There is little solidarity or administrative detail, focusing instead on security measures and restrictions. The dominant frame is risk and burden."
SYR,NLD,997,"The NLD frames Syria primarily through humanitarian and solidarity lenses, emphasizing the plight of refugees and the need for stability and reconstruction, while also balancing this with administrative concerns like refugee procedures and security risks. Dominant frame: Solidarity and humanitarian focus with administrative and security considerations."
SYR,ESP,102,"España emphasizes humanitarian concerns and obligations towards Syria, highlighting the need for geopolitical solutions and democratic governance. Administrative efforts include resettlement programs and reception centers. The dominant frame balances solidarity and administrative action, with a focus on ongoing challenges and responsibilities."
SYR,EST,144,"Estonia emphasizes humanitarian aid to Syria and internally displaced people, while acknowledging the role of Turkey as a transit country. There’s a focus on potential future returns to Syria and concerns about Islamic extremism. The dominant frame balances humanitarian aid with security and administrative considerations."
SYR,HUN,118,"HUN’s parliament frames Syrian migration through a balance of risk (doubting claims of refugees) and administrative (historical aid, demographic concerns) framings, with less emphasis on solidarity or policy remedies. The dominant frame is **risk and administrative framing**."
SYR,LVA,9,"LVA frames Syria in terms of broader security concerns, including terrorism and migration, while emphasizing the need for EU unity and caution against distractions. Risk framing dominates, with little emphasis on humanitarian or solidarity aspects.

**Dominant frame:** Security and risk are prioritized over humanitarian concerns."
SYR,ISL,209,"ISL's parliament frames Syria as a source of humanitarian crises and refugee flows, emphasizing the need for solidarity and cultural understanding while also highlighting security risks and potential burdens. The dominant frame is a balance between humanitarian concerns and security threats.

Humanitarian and security concerns are equally emphasized, with a slight tilt towards security risks."
SYR,AUT,287,"AUT frames Syrian migrants as victims of war and persecution, emphasizing humanitarian concerns and the need for solidarity, while also acknowledging broader economic motivations. The parliament frequently references personal suffering and the capacity of camps, balancing humanitarian and administrative perspectives. Dominant frame: **Humanitarian and solidarity framing with administrative details.**"
SYR,CZE,350,"Czech parliament frames Syria as a source of both humanitarian needs and potential security risks, emphasizing local control and the role of NGOs. They advocate for direct assistance and cooperation, but also mention the need for border control and managing migrants. Dominant frame: **Balanced approach with humanitarian and security concerns, emphasizing local solutions and NGO involvement.**"
SYR,POL,67,"POL frames Syria as a site of humanitarian crisis and suffering, emphasizing the plight of refugees and the need for solidarity through direct assistance. There is also a mention of Poland’s administrative efforts and procedural involvement in providing aid. The dominant frame is **solidarity framing**, highlighting humanitarian concerns and direct action."
LBY,ISL,16,"ISL parliament frames Libya primarily through a risk and administrative lens, emphasizing security threats and the need for careful handling of refugees, while also discussing the EU's policies and their consequences. The dominant frame is **risk and security with administrative concerns**."
LBY,ESP,83,"ESP frames LBY primarily through a risk and administrative lens, emphasizing the dangers of instability and the need for strict controls, while also highlighting past military interventions and their negative consequences. The parliament expresses skepticism towards EU policies and emphasizes the need for caution and regulation.

**Dominant frame:** Risk and administrative framing with a critical view of past interventions and current EU policies."
LBY,SRB,11,"SRB frames LBY primarily through a solidarity lens, emphasizing shared challenges like terrorism and the historical contributions of Libyans to other countries' economies. There’s also an administrative framing around making reception centers. The dominant frame is **solidarity and humanitarian concern**."
LBY,ITA,486,"ITA frames Libya primarily through a risk and administrative lens, emphasizing security threats and the need for cooperation and agreements. It mentions humanitarian concerns but focuses more on security and procedural measures. Dominant frame: Risk and Administrative Framing."
LBY,AUT,64,"AUT frames Libya primarily through a risk and administrative lens, emphasizing security threats and the need for strict border control measures. There is little mention of humanitarian concerns or solidarity. The focus is on preventing migrants from reaching Italian shores and cooperating with Libya. Dominant frame: **Risk and administrative framing with a strong emphasis on security and border control.**"
LBY,POL,23,"POL frames Libya primarily through an administrative and policy-remedy lens, emphasizing the challenges of signing agreements due to political instability, while advocating for cooperation and border protection measures. The focus is on addressing smuggling and securing borders rather than humanitarian concerns.

**Dominant frame:** Administrative and policy-remedy framing with emphasis on cooperation and border protection."
LBY,FIN,30,"Finland frames Libya as a source of refugee crises and dangerous routes, emphasizing security risks and humanitarian concerns. It criticizes inaction and the EU-Turkey agreement while advocating for responsibility and cooperation. Dominant frame: **Risk and Security with Humanitarian Concerns.**"
LBY,SVN,61,"SVN frames Libya primarily through a risk and administrative lens, emphasizing security concerns and the need for cooperation, particularly with Italy. There is also a hint of policy-remedy framing around stabilizing the region. The dominant frame is **risk and security-focused, with an emphasis on cooperation and stability**."
LBY,HRV,48,"HRV frames LBY primarily through a risk and administrative lens, emphasizing cooperation and security concerns, while also critiquing NATO and U.S. policies. The parliament expresses opposition to actions that create refugees and supports dialogue with Turkey. Dominant frame: Administrative and Risk Framing with Criticism of External Actors."
LBY,HUN,33,"Hungary frames Libya as a chaotic source of migrants, emphasizing security risks and past conflicts, while also highlighting the humanitarian situation in Turkey and advocating for EU cooperation and stability promotion. The dominant frame is risk-framed, focusing on security and past conflicts."
LBY,GBR,349,"GBR frames Libya in migration debates with a balance of humanitarian concerns (e.g., granting protection) and security risks (e.g., stopping weapons flow to terrorists), alongside administrative efforts (e.g., Operation Sophia). The focus on cooperation with other EU states and supporting political stability in Libya is also evident. Dominant frame: **Solidarity and Security**."
LBY,NLD,404,"The NLD frequently mentions Libya in migration debates, focusing on agreements and deals with the country, particularly regarding refugee returns and border management. There is little emphasis on humanitarian concerns or solidarity. The dominant frame is administrative and procedural, centered around migration policies and EU-Libya cooperation.

**Dominant Frame Summary:** Administrative and procedural focus on migration deals and border management with Libya."
LBY,BGR,11,"Bulgarian parliamentarians frame Libya as a financial powerhouse with significant resources, but also emphasize the security risks and the need for European cooperation to manage migration. They highlight the lack of preparedness and the importance of agreements with North African countries.

**Dominant Frame:** Risk and Administrative Framing with a Call for Cooperation."
LBY,CZE,101,"Czech parliament frames Libya primarily through a risk and administrative lens, emphasizing stability, return policies, and potential contributions to Libya’s legitimate functioning. There is less focus on humanitarian obligations or solidarity. The dominant frame is **administrative and risk-focused**, with an emphasis on procedural agreements and stability."
LBY,PRT,30,"Portugal frames Libya primarily through a humanitarian lens, emphasizing the root causes of displacement due to foreign interventions and the dire conditions faced by migrants. It also highlights the risks and failures in rescue operations and cooperation with the EU. Solidarity is evident in calls for action against trafficking and support for Libya. Administrative and policy remedies focus on criticizing EU policies and calling for accountability.

**Dominant frame:** Humanitarian and critical of EU policies, with a focus on foreign interventions and rescue failures."
LBY,EST,41,"EST frames migration from LBY through financial incentives for relocation, highlighting administrative agreements with Italy and Libya, while emphasizing security risks and past terrorist threats. The dominant frame is **administrative and security-focused**, balancing some humanitarian considerations."
LBY,FRA,124,"FRA frames Libya primarily through a risk framing lens, emphasizing the dangers and human rights abuses migrants face there, such as slavery and inhumane conditions. There is some mention of administrative and policy aspects but they are overshadowed by the focus on the plight of migrants. The dominant frame is risk framing."
LBY,TUR,82,"Turkish parliament frames Libya primarily through an administrative and solidarity lens, emphasizing support for the Libyan government, humanitarian aid, and energy security. They also highlight the need for security measures and international law compliance. 

**Dominant frame:** Administrative and solidarity focus with an emphasis on support for the Libyan government and humanitarian efforts."
LBY,BEL,336,"Belgian parliament frames migration from Libya primarily through a risk and administrative lens, discussing smuggling, agreements, and resettlement challenges. There is some humanitarian concern but it is secondary. Dominant frame: Risk and Administrative Framing."
LBY,GRC,87,"GRC frames Libya primarily through a risk and administrative lens, emphasizing security concerns and territorial disputes, while also mentioning potential cooperation on resource management. The parliament frequently references external threats and sovereignty issues.

**Dominant frame:** Risk and administrative framing with a focus on security and resource management."
LBY,NOR,69,"NORway frames Libya primarily through a risk and administrative lens, emphasizing security concerns and humanitarian issues. It mentions UN resolutions for ship inspections and the return of migrants to Libya, highlighting the country’s instability and human rights violations. NORway also notes its contributions to refugee resettlement. The dominant frame is **risk and administrative, with significant emphasis on security and humanitarian concerns**."
LBY,SWE,174,"Sweden frames Libya primarily through a risk and administrative lens, emphasizing the humanitarian crisis and the need for financial support, while also discussing the EU's role in migration management. The dominant frame is **risk and administrative focus with humanitarian elements**."
MAR,PRT,18,"Portugal emphasizes agreements and negotiations with Morocco while balancing humanitarian concerns and criticizing Moroccan treatment of migrants. Administrative and policy-remedy framings are prominent, alongside some risk and solidarity framing.

**Dominant frame summary:** Portugal focuses on migration agreements and administrative procedures while addressing both humanitarian and security concerns."
MAR,NLD,386,"NLD frames Morocco as a partner in deportation procedures but emphasizes the risk of Moroccan non-cooperation, highlighting administrative agreements and the need for pressure if Morocco refuses to deport. Restriction is preferred over open acceptance.

Dominant frame: Administrative and risk-framing with a focus on cooperation and pressure."
MAR,NOR,10,"NORway emphasizes administrative procedures and agreements related to dual citizenship and international conferences in Morocco, with minimal risk or solidarity framing. The focus is on Norway’s participation and reservations in Moroccan-led initiatives. Administrative and procedural framing dominate."
MAR,BIH,5,"BIH parliament primarily focuses on listing countries of origin for migrants, emphasizing Afghanistan, Pakistan, and Bangladesh, while mentioning Morocco and other North African countries. There is little risk framing, no solidarity framing, and minimal administrative or policy-remedy discussion. The dominant frame is **administrative and descriptive**, focusing on identifying and categorizing migrant origins."
MAR,CZE,18,"Czech parliament frames Morocco primarily through an administrative and policy-remedy lens, emphasizing agreements and financial assistance while downplaying humanitarian concerns. They focus on migration management and redirection of funds.

Dominant frame: Administrative and policy-remedy framing."
MAR,SWE,94,"Sweden frames Morocco primarily through an administrative and policy-remedy lens, emphasizing deportation procedures and practices. There is also a risk framing element related to unaccompanied minors and security concerns. Solidarity and humanitarian aspects are minimal. The dominant frame is on administrative measures and deportations.

Sweden focuses on administrative and policy-remedy measures regarding deportations to Morocco, with some risk framing but little solidarity or humanitarian emphasis."
MAR,POL,5,"POL frames migration from MAR primarily through a risk and administrative lens, mentioning human rights and legal judgments but focusing on security and border control measures. The parliament emphasizes cooperation with MAR for managing migration flows and upholding legal standards.

**Dominant frame:** Risk and administrative framing with a focus on security and cooperation."
MAR,ITA,18,"Italy frames Morocco in migration debates with a balance of administrative and policy-remedy framings, emphasizing bilateral agreements and cooperation, while also addressing humanitarian concerns and risks. Italy seeks to work with Morocco on reception centers and legal frameworks but highlights security and human rights issues.

**Dominant frame:** Administrative and policy-remedy with a focus on cooperation and humanitarian concerns."
MAR,FRA,33,"FRA frames Morocco as a partner for humanitarian and administrative cooperation, emphasizing competent structures and financial aid. There is little risk framing but some mention of security issues related to Western Sahara. The dominant frame is **solidarity and cooperation**."
MAR,GRC,27,"GRC frames Morocco primarily through risk and administrative lenses, highlighting crime, security threats, and migration issues, while occasionally mentioning humanitarian aspects. The parliament emphasizes Moroccan nationals' criminal activities and their role in illegal immigration and drug trafficking. Administrative measures and border controls are frequently discussed.

Dominant frame: Risk and administrative framing with occasional humanitarian elements."
MAR,EST,8,"EST frames Morocco primarily through risk and security concerns, citing terrorist threats and mass invasions. There are occasional mentions of administrative procedures related to migration frameworks but no significant solidarity or policy-remedy framing. Dominant frame: Risk and Security Framing."
MAR,ISL,6,"ISL parliament frames Morocco primarily through a humanitarian lens, focusing on individual cases of young Moroccans seeking asylum and Iceland’s obligations under international conventions. There is also an administrative framing related to signing agreements. The dominant frame is **solidarity and humanitarian concern**."
MAR,AUT,45,"Austrian parliament frames Morocco primarily through risk and administrative lenses, emphasizing the need for agreements and reductions in development funds for non-cooperative countries. Solidarity and policy remedies are minimal. Dominant frame: Risk and Administrative Framing."
MAR,BEL,340,"Belgian parliament emphasizes administrative and policy-remedy framings, discussing agreements and procedures with Morocco while mentioning medical and economic criteria. There is less focus on risk or solidarity frames. Dominant frame: Administrative and procedural cooperation with Morocco."
MAR,HUN,15,"Hungary emphasizes administrative and policy-remedy framings, focusing on agreements, trade, and humanitarian assistance through relief flights. There is a balance between solidarity and risk, highlighting Morocco’s importance for stability and migration management. Dominant frame: Administrative and policy cooperation with Morocco."
MAR,ESP,365,"ESP frames migration from MAR through risk and administrative lenses, emphasizing control and security measures over humanitarian concerns. They highlight the need for stricter policies and cooperation with Morocco to manage the flow of migrants. Risk-framed, administrative focus with some solidarity elements.

España enfatiza el control y la seguridad en lugar de las preocupaciones humanitarias, destacando medidas administrativas y políticas más restrictivas con Marruecos para gestionar el flujo de migrantes. Enfoque dominante: riesgo y administración."
MAR,SVN,42,"SVN frames migration from MAR primarily through a risk-framing lens, emphasizing threats from radical Islam and disease, while occasionally mentioning administrative concerns like border management and capacity. Solidarity and humanitarian considerations are minimal.

Dominant frame: Risk-framing of migration from MAR."
AFG,LVA,6,"LVA frames its discussions on Afghanistan primarily through an administrative and policy-remedy lens, emphasizing agreements, humanitarian obligations, and long-term engagement. There is also a hint of risk framing regarding potential future migration. The dominant frame is **administrative and cooperative**, focusing on agreements and long-term engagement."
