source,target,n,rule_based_label,positioning,confidence,rationale,evidence_span
SVN,AUT,313,learning_emulation_from,model_to_emulate,0.9,"The speaker frequently refers to Austria as a positive example, suggesting Slovenia should emulate its practices, particularly in areas such as tax policies and language requirements for workers.","[""Following an example already shown in some way by Slovenia and Austria"", ""this is no longer the case, let us not count how many attempts we have had in New Slovenia, how many proposals, including the urgent meetings of the competent committees, to solve once and for all the problems of migrant workers working in Austria"", ""Only because the tax burdens in Slovenia are higher than in Austria and FURS requires payment of the difference between what workers working in Austria have paid in Austria and what they have to pay in Slovenia"", ""If the income scale in Slovenia were the same as in Austria, then migrants working in Austria would not have to pay an additional tax in Slovenia"", ""I have also told you that no one who goes to Austria to work or Italy thinks of not being able to speak either Austrian or German or Italian""]"
NOR,GRC,296,learning_emulation_from,cooperation_partner,0.85,"The mentions indicate that Norway is learning from and cooperating with Greece on issues related to asylum seekers and the management of the refugee crisis. This is evident from phrases such as 'helping to improve the situation in the camps' and 'supporting the resolution of proposal No. 67', which suggest a collaborative effort.","[""We therefore also have an additional responsibility to help resolve the situation, both by helping to improve the situation in the camps and by helping to build up the asylum system in Greece"", ""we assume that if this proposal is adopted, the asylum seekers from Greece will be vulnerable persons who are likely to be entitled to protection in Norway"", ""But what we are now discussing is that Greece has become responsible for a great many asylum seekers""]"
NLD,SYR,292,learning_emulation_from,neutral_reference,0.8,"The mentions of Syria (SYR) in the context provided are primarily used to discuss refugee situations, safety conditions, and policies regarding returns. There is no clear positive or negative framing of Syria, nor is it presented as a partner or an object of pressure. The focus is on factual discussions and policy considerations.","[""Because parts of Syria are safe."", ""If the people from Jordan voluntarily return to Syria, which they really would not do if it were unsafe, you cannot tell me that we cannot send back those 80,000 people in the Netherlands who fill those 50,000 homes."", ""For example, we do not automatically send people back to Syria.""]"
ITA,LBY,273,coercion_intervention_to,object_of_pressure,0.8,"The mentions consistently frame Libya as a target for Italy's actions, such as stabilizing the situation, assuming responsibilities, and countering threats. The language used indicates that Italy is exerting pressure on Libya to achieve certain outcomes.","[""We know that , until the situation in Libya has stabilised , we will have to deal with all the issues that we are talking about in this debate."", ""It is necessary , therefore , to continue the commitment to a full assumption of own responsibilities by the Countries of the area of North Africa ( Libya and Tunisia first ) in the operations of rescue carried out in the areas SAR of their competence."", ""A stable and united Libya is a prerequisite for us to counter the terrorist threat , prevent illegal migration flows and protect our energy interests.""]"
BEL,GRC,262,learning_emulation_from,cooperation_partner,0.85,The mentions indicate that Belgium (BEL) is working bilaterally with Greece (GRC) on issues such as refugee accommodation and support. This suggests a cooperative relationship rather than emulation or pressure.,"[""[2021] ... If each country works bilaterally with Greece, we will not have a good organization of goods to meet Greece's needs. ..."", ""[2021] ... People have always been made available by the DVZ and Fedasil to help in Greece or Italy, for example. ...""]"
SVN,HRV,257,learning_emulation_from,cooperation_partner,0.85,"The speaker parliament frequently mentions Croatia in the context of cooperation, particularly regarding the return of migrants and educational opportunities. This indicates a positive and cooperative relationship.","[""[2019] ... cooperation with the Republic of Croatia is carried out properly ..."", ""[2019] ... Cooperation with Croatia, as regards the return of people to Croatia, is going well."", ""[2021] ... due to the proximity of the border with Croatia, could attract students from the former Yugoslavia and have a beneficial impact on the education structure of the Lower Roma.""]"
NOR,AFG,252,coercion_intervention_to,object_of_pressure,0.8,"The mentions consistently frame Afghanistan as a target of action or assessment, particularly in the context of potential returns and assessments of safety, which indicates a position of pressure or coercion.","[""[2018] The fact that today in the vote we are proposing to set up an expert committee to conduct an open assessment on return to Afghanistan"", ""[2019] The government is asking the Government to put an immediate stop to all forced return of asylum seekers to Afghanistan""]"
BEL,SYR,246,learning_emulation_from,object_of_pressure,0.8,"The mentions often refer to the difficult situation in Syria and the challenges related to refugees, implying pressure on the country to address these issues. There is also a mention of cooperation with a 'dictator' regarding Syria, suggesting a coercive stance.","[""fate of the children of people who have left for Syria"", ""reducing the right of residence of 94 people and sending them back effectively, which requires cooperation with a certain dictator"", ""80 % of those questioned know Syrians who had to flee Syria a second time after they were returned""]"
FIN,IRQ,245,exchange_cooperation,cooperation_partner,0.8,The mentions indicate ongoing negotiations and cooperation between Finland and Iraq on issues such as the return of asylum seekers and working agreements with the government. The speaker frames these interactions as positive and collaborative efforts.,"[""[2018] This is the subject of ongoing negotiations, in particular with Iraq, where most of the target persons come from, and the work is being done in good agreement with the government and also with the whole of Parliament."", ""[2019] With regard to this so-called forced return debate or the illegal return of Iraqi asylum seekers in Finland to Iraq, this negotiation between the Finnish Government and Iraq has already begun during the last parliamentary term on how we could intensify the return of these people to Iraq.""]"
BEL,GBR,243,learning_emulation_from,cooperation_partner,0.9,"The mentions emphasize cooperative efforts and financial support between BEL and GBR, indicating a partnership rather than emulation or pressure.","[""agreements were reached on further operational cooperation"", ""There is very good cooperation between Belgium and the United Kingdom""]"
FIN,SWE,232,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to Sweden as a positive example, highlighting its better employment rates, higher immigrant employment, and successful integration policies. The language used suggests emulation and learning from Sweden’s practices.","[""[2019] We were visiting Stockholm with the Committee on Labour and Equal Opportunities, and they wondered why Sweden had a better employment rate and, yes, it was there that family leave appeared, especially for young women, then there was a much higher employment rate for immigrants, and where Sweden did..."", ""[2021] I would like to return to that previous speech by Mr Kiljunen, who spoke about migration from Finland to the USA and Sweden, that they were also born in their way in need of these societies.""]"
NLD,GBR,229,exchange_cooperation,cooperation_partner,0.85,"The mentions emphasize cooperation and mutual benefits, such as student exchanges and agreements on future relations. The discourse focuses on positive interactions and shared goals, indicating a cooperative partnership.","[""[2020] It states : 'The Union and the United Kingdom agree that prosperity and security are enhanced by the embrace of free and fair trade, the defence of individual rights and the rule of law, the protection of workers, consumers and the environment, and by addressing internal or external threats to'"", ""[2020] Should the EU and the UK agree on future relations, this law will not enter into force.""]"
EST,UKR,222,learning_emulation_from,object_of_pressure,0.8,"The mentions frequently refer to Ukraine in the context of a war and its consequences, often expressing concern and calling for support and assistance. This suggests Ukraine is being positioned as a target of pressure and attention rather than a positive model or partner.","[""The war in Ukraine has put Moldova , for example , in a fragile situation ."", ""We want those children and families who have reached Estonia to feel good about themselves in Estonia and to be able to cope in Estonian society as long as they can return to their homes , back to Ukraine ."", ""It is clear that there are people in Ukraine , especially in the areas of Eastern Ukraine , who have either not been able to leave the country or who are trying to organise their lives on the ground yet , but if Russia , knowingly , completely deliberately , continues to destroy , destroy , destroy""]"
SWE,AFG,220,coercion_intervention_to,object_of_pressure,0.85,"The mentions frequently refer to potential actions against Afghanistan, such as tearing down agreements and recovering debts, indicating a position of pressure. However, there are also instances where Afghanistan is described as important for maintaining relations and providing consular assistance, which introduces a more cooperative element.","[""We can tear down the readmission agreement with Afghanistan."", ""If the Moderates think it's important to return, I wonder why you didn't sign agreements with Afghanistan."", ""This means that the Central Board of Student Aid, CSN, will have to recover this debt from abroad, probably then from Afghanistan.""]"
ESP,MAR,202,coercion_intervention_to,cooperation_partner,0.85,"The mentions highlight Morocco as a strategic partner in trade, immigration, and security cooperation. The speaker emphasizes the importance of compliance with international agreements and the need for cooperation in matters related to migrant workers and security policies.","[""[2022] I would like to remind you that Morocco is the third country outside the European Union in trade relations with Spain, which is indeed a strategic partner not only in immigration but also in the fight against terrorism and therefore fully enters into security.""]"
BEL,NLD,193,learning_emulation_from,model_to_emulate,0.85,"The mentions frequently highlight Belgium emulating policies from the Netherlands, such as asylum procedures and migration service agreements. This indicates a positive reference where the speaker parliament views the Netherlands as a model to follow.","[""These agreements are operated not only in Belgium but also in France, the Netherlands, Norway, Germany, Sweden and Italy."", ""In the Netherlands, an asylum application must be answered within a certain time limit."", ""In October 2021, Belgium, the Netherlands and Luxembourg reached an agreement to significantly shorten the response period between the different migration services.""]"
EST,RUS,193,learning_emulation_from,object_of_pressure,0.85,"The mentions consistently frame Russia as a threat or a source of problems for Estonia, particularly regarding citizenship and the potential loss of Estonian citizens to Russian citizenship. The speaker emphasizes actions against Russia, such as preserving Estonian citizenship for those fighting against it in Ukraine.","[""2021: We saw these threats in 1993 when it was intended to create the autonomy of north-east Estonia, which was actually aimed at shifting it into the grip of St Petersburg and Russia."", ""2022: This change allows for example the preservation of Estonian citizenship by naturalisation for those persons who have acquired Estonian citizenship and who are fighting against the Russian Federation in Ukraine.""]"
NOR,SYR,187,learning_emulation_from,object_of_pressure,0.7,"The mentions often discuss the need for action regarding Syria, such as stopping exports to Turkey due to its involvement in Syria, or ensuring that Syrian refugees can come to Norway. This indicates that Syria is being framed as a target of pressure or demand.","[""The case concerns a three-part proposal from the representative of the Björn Moxnes of the Red Party, requesting that the Stortinget stop the export of Norwegian defence equipment to Turkey, urges the Turkish Government to withdraw its military forces from Syria and increase humanitarian aid to"", ""In this case, it is proposed that the government be asked to ensure that Norwegian children and women living in detention camps in Syria can come to Norway as soon as possible.""]"
NLD,DEU,184,learning_emulation_from,cooperation_partner,0.85,"The mentions frequently refer to Germany in the context of close contacts and agreements, indicating a cooperative relationship. Examples include references to being part of the 'Franco-German axis' and discussions about travel procedures that involve Germany.","[""close contact with France and Germany"", ""agreement between Germany, France, Italy and Malta"", ""travel one more time to Germany or the Netherlands""]"
NLD,MAR,180,learning_emulation_from,object_of_pressure,0.85,"The mentions indicate that Morocco is often discussed in terms of cooperation and pressure, such as needing its cooperation for returning asylum seekers and ensuring it participates in pacts. The phrase 'if we want to send back people from Morocco' suggests a position of power over Morocco.","[""If we want to send back people from Morocco who apply for asylum but are not entitled to do so and cause a great deal of nuisance and sometimes even criminal offences, then we must have Morocco's cooperation."", ""We must ensure that the countries of origin cooperate, for example Morocco, Tunisia and Algeria.""]"
BEL,ITA,180,learning_emulation_from,cooperation_partner,0.85,"The mentions indicate that Italy is often discussed in the context of joint actions and agreements, such as the Malta agreement, which suggests a cooperative relationship. The speaker parliament frequently references Italy as part of a collective effort rather than as an adversary or a model to emulate.","[""This agreement is the result of a German - French initiative for a voluntary and temporary distribution mechanism for the spread of migrants picked up in the Mediterranean and landed in Italy and Malta"", ""The Malta agreement is not yet operational , but it provides for a spread , so that a number of countries , such as Italy and Greece , are relieved of their burden and should not assume the full burden of processing the asylum procedure""]"
GRC,USA,179,learning_emulation_from,object_of_pressure,0.8,"The mentions often frame the USA in a negative light, such as being against agreements or having negative impacts on Greece. This suggests the USA is portrayed as a target of criticism rather than a positive model to emulate.","[""[2020] Let us not forget that this agreement has been condemned by the European Union , by the United States , Russia , by all the Mediterranean countries ."", ""[2021] This partnership is an attempt by European monopolies to promote their positions in an area which is very strong in the dominance of the United States of America , and in recent years there have been corresponding attempts to infiltrate China ."", ""[2022] That you were missing during the attempted invasion of Evros , that you are not yet sure that the sea has borders , that ' immigrants have taken ' , that you voted against the defensive agreement with France and you have already announced that you will also vote against the US agreement ?""]"
HRV,UKR,178,learning_emulation_from,model_to_emulate,0.9,"The speaker frequently refers to the situation in Ukraine and the actions taken by the Croatian government in response, suggesting emulation of the UKR's handling of the crisis.","[""Of course , as a consequence of the Implementing Decision establishing the existence of a mass inflow of displaced persons from Ukraine that the EU Council made on 4 March , and on this basis , our government has adopted a decision already on 7 March to introduce temporary protection in the Republic"", ""If we need to expand it , we have enough capacity , but of course we all hope that there will be no need and that the war in Ukraine will end as soon as possible and that people will return to their homes.""]"
SVN,DEU,173,learning_emulation_from,model_to_emulate,0.9,"The speaker frequently refers to Germany as a positive example, suggesting that the country’s policies and actions should be emulated. Phrases such as 'similar to what we are taking today' and 'equipped with certain information on how they should behave' indicate a desire to follow Germany’s approach.","[""[2017] ...Austria , Germany , Denmark are similar to what we are taking today... "", ""[2021] ...Even more, equipped with certain information on how they should behave in order to reach the desired goal, is the right work, for example, in Germany... ""]"
BEL,LBY,171,exchange_cooperation,object_of_pressure,0.85,"The mentions frequently frame Libya as a target for international sanctions and intervention, indicating that it is being pressured to change its policies regarding migration and human rights. This aligns with the 'object_of_pressure' category.","[""call for international sanctions if Libyan justice does not prevail"", ""demand for an EU humanitarian intervention in Libya"", ""agreement between Italy and Libya has sent people back to Libya, exposing them to horrific sufferings""]"
SWE,SYR,169,learning_emulation_from,object_of_pressure,0.7,"The mentions often frame Syria in a negative light, comparing it unfavorably to other conflict zones like Afghanistan and Eritrea. The speaker emphasizes the challenges and dangers associated with fleeing to Syria, suggesting a critical stance towards the country.","[""While developments in countries such as Syria and Libya have received great attention in Sweden and the rest of the EU, the regime's gross and widespread abuse in Bahrain has met with silence."", ""You probably need to do a lot with Sweden to make it worse than the world's most dangerous country Afghanistan, war-torn Syria or oppression is the regime's Eritrea.""]"
NOR,TUR,167,exchange_cooperation,cooperation_partner,0.85,"The mentions consistently frame Turkey as a partner in cooperative efforts, such as the EU-Turkey work plan and the EU-Turkey agreement on migration. The speaker parliament emphasizes solidarity and shared responsibility with Turkey in managing migration patterns and refugee situations.","[""[2016] The EU - Turkey work plan could potentially lead to major changes in the migration pattern"", ""[2020] In this cooperation there is also clear solidarity with Turkey, which has received almost four million refugees"", ""[2020] We in Norway too have our share of responsibility for the heartbreaking and terrible situation in the refugee camps in the Greek islands, because we are also part of the EU - Turkey agreement""]"
CZE,DEU,166,learning_emulation_from,object_of_pressure,0.85,"The mentions frequently frame Germany as a source of unwanted migration and pressure, indicating that the Czech Republic is trying to prevent or manage the influx of migrants from Germany. This is evident in phrases such as 'protect the Czech Republic from the arrival of migrants from the south and at the same time from the arrival of unsuccessful asylum seekers from Germany' and 'if the Němec succeed in achieving the perfect security of the border, as they promise, as the pressure is on in Germany, and we will have migrants coming back in thousands.'","[""we must protect the Czech Republic from the arrival of migrants from the south and at the same time from the arrival of unsuccessful asylum seekers from Germany"", ""our doctors and nurses are going to Austria and Germany, but this global migration movement does not stop there"", ""we need to stop funding for migration agencies, non-profit organisations, various other units, whether within the European Union, within national states or private entities, semi-private entities, because as long as there are social benefits in Germany at the end of the migrant journey, which"", ""they will return them and those illegal migrants who have 30 days to leave the Czech Republic - we cannot expel them - return to Germany again because they really do not want to come to us"", ""if the Němec succeed in achieving the perfect security of the border, as they promise, as the pressure is on in Germany, and we will have migrants coming back in thousands in the framework of the Readmission Agreement""]"
POL,GBR,165,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to the United Kingdom (GBR) as a source of inspiration or a model to emulate, particularly in the context of legal and administrative matters. This is evident in phrases such as 'you introduced this law' and discussions about improving administrative proceedings.","[""[2020] In order to improve the quality of administrative proceedings, you introduced this law, which was intended to concern the entry and residence of citizens of the United Kingdom of Great Britain, many other regulations, as always, because this is done by the way.""]"
BEL,SDN,164,learning_emulation_from,neutral_reference,0.8,"The mentions of Sudan (SDN) in the context provided are primarily factual and do not indicate a positive or negative stance towards the country. The speaker parliament refers to Sudan in a matter-of-fact manner, discussing travel documents, return policies, and reports without expressing emulation, warning, partnership, or pressure.","[""[2017] As far as Sudan is concerned, I refer to the Prime Minister's reply."", ""[2018] The following Member States shall participate specifically for Sudan: Austria, Belgium, the Netherlands, Denmark, Finland, France, Germany, Greece, Italy, Luxembourg, Malta, Norway, Spain, Romania, Sweden, the United Kingdom and Switzerland."", ""[2018] As the CGRA indicates in the current report to which you refer, there is no general problem with the return to Sudan and the risk of a violation of Article 3 of the ECHR is examined on a case-by-case basis.""]"
CZE,GRC,162,coercion_intervention_to,object_of_pressure,0.8,"The mentions consistently frame Greece as a target for action, such as insisting on fulfilling commitments, dealing with illegal migration, and protecting borders. This indicates that Greece is being pressured into certain actions.","[""To insist that Turkey fulfil its commitments, as Europe should fulfil its part of the agreement, to help Greece, to conclude a Balkan route for illegal migration."", ""V4 made it clear that we should protect the border and prevent illegal migration, so they are finally implementing it in Greece.""]"
BEL,MAR,161,exchange_cooperation,cooperation_partner,0.85,"The mentions primarily focus on cooperation and agreements between the two countries, such as the historic agreement on return cooperation and efforts to stabilize neighboring countries. This indicates a cooperative relationship rather than a negative or neutral stance.","[""[2021] These arrivals would be due to a relaxation of the surveillance of the coasts on the Moroccan side, Morocco probably seeking to put Spain under pressure to obtain political advantages in other cases."", ""[2022] If we can stabilise those countries and ensure that people in Libya, Morocco, Egypt or anywhere else can develop a stable life, it will also benefit the EU.""]"
NOR,RUS,155,coercion_intervention_to,object_of_pressure,0.9,"The mentions frequently refer to Norway taking actions in response to Russia, such as monitoring the border and coordinating sanctions. This indicates that Norway views Russia as a target of pressure rather than a partner or someone to emulate.","[""[2022] In a short time, they coordinated sanctions against Russia, not only among their own members, but also with other international partners.""]"
HUN,DEU,154,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to Germany as a source of examples or standards, suggesting emulation. For instance, mentioning that German ministers are discussing the need for reform and citing German calculations on immigration costs indicates a positive stance towards Germany as a model.","[""The ministers of justice in Germany, France, Italy and England are constantly saying that the institution is creaking and creaking, and the whole thing needs to be rethinking."", ""I have already done the calculations of this in Germany, and they themselves say that the provision of a single immigrant costs more than 700 thousand forints in euros.""]"
CZE,HUN,152,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to Hungary (HUN) as a model to emulate, particularly in the context of immigration policies. Phrases such as 'clear rejection of immigration quotas following the model of Slovakia or Hungary' indicate that Hungary is seen as a positive example.","[""Secondly, of course, clear rejection of immigration quotas following the model of Slovakia or Hungary.""]"
NLD,ITA,150,learning_emulation_from,cooperation_partner,0.9,"The speaker frequently mentions Italy in the context of close cooperation and border control issues, indicating a bilateral partnership.","[""[2016] ... I 'm working closely with Italy right now ..."", ""[2018] ... we wonder how we can ensure that this pressure is not only applied to Italy and Spain ..."", ""[2018] ... cooperation with Italy and sending people back to Italy ..."", ""[2021] ... people come in there, walk through to the Netherlands and report here ... Yes, sorry, we have a really big problem with that.""]"
AUT,TUR,149,exchange_cooperation,object_of_pressure,0.85,"The mentions frequently refer to Turkey as a source of migration pressure on Greece, implying that Turkey is a target of pressure or management efforts. For instance, the speaker discusses the need to deal with migrants coming from Turkey and criticizes the EU-Turkey deal, suggesting a coercive relationship.","[""Otherwise , if a million people , like last year or perhaps even two million or more , are self - employed across Turkey and come to Greece , we would have to deal with all this in Greece without being able to influence neighbors without any influence in the matter of departure , without the possibi"", ""The volatile situation in Turkey and instability in Iran , Syria and Afghanistan lead to increased migration pressure in Greece."", ""Well , that 's exciting , because we know that this EU - Turkey deal does not work , that it costs the EU billions , that Erdoğan uses it as a threat scene and as a fist - powder , and at any time can open up the border , as he has already done , ladies and gentlemen!""]"
HRV,GBR,147,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to the United Kingdom (GBR) as a source of solutions and agreements, suggesting emulation. Phrases such as 'we will follow as is said here' and 'we have given the best possible solution' indicate that the UK is held up as a positive example.","[""[2019] ... we think that in these transitional provisions we have given the best possible solution, we will follow as is said here ..."", ""[2021] ... precisely because of the fact that we have agreed to the withdrawing agreement that those citizens who have had an orderly stay in the UK, EU citizens and vice versa, UK citizens in the Member States, and so on in Croatia, will cont...""]"
BEL,DEU,147,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to Germany as a positive example, suggesting that other countries should emulate its policies, particularly in areas such as migration and asylum.","[""What other European countries send Afghan rejected asylum seekers back through these Joint Way Forward on Migration issues except Germany , Norway , Austria and Sweden ?"", ""If you are the mini-Merkel , including in the area of family reunification , you may , for my part , literally adopt the legislation of Germany , which is : quotas every month , for asylum and family reunification , and d'office no longer family reunification under subsidiary protection ."", ""He refers to Germany , which wants to suspend family reunification for people who have received subsidiary protection for 24 months ."", ""The analysis they make is shared by the same professionals in Germany , the Netherlands and now in France ."", ""You say that in Germany it is about suspending the feasibility of the order to leave the territory .""]"
NLD,LBY,144,exchange_cooperation,cooperation_partner,0.8,"The mentions primarily focus on cooperation between the Netherlands and Libya, particularly regarding migration and human rights issues. The speaker discusses working together with Libya on monitoring reports and coastguard operations, indicating a cooperative relationship.","[""[2017] Does the D66 group therefore believe that UNHCR should cooperate with such a Libya package if it is to be able to obtain the approval of D66?"", ""[2018] Imagine that such a monitoring report shows that there is indeed human rights violations, as we now hear about Turkey through Human Rights Watch and as we have heard from many organisations about Libya."", ""[2021] Frontex also cooperates with Libya and people are sent back to Libya, where it is dangerous, says Mr Van Dijk.""]"
BEL,UKR,142,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to the situation in Ukraine and discusses measures taken there, suggesting that Belgium should emulate these actions. For example, the mention of providing legal frameworks, psychological support, and ensuring dignified treatment for refugees from Ukraine indicates a positive emulation of the UKR's approach.","[""Since the beginning of the conflict in Ukraine, we have seen a very rapid increase in the number of people from Ukraine present at the Klein Kastiltje."", ""You can ensure that all people with a residence status in Ukraine in Belgium can be treated with dignity."", ""Following the war in Ukraine, these refugees also have access to psychological support and it was decided to make the intercultural mediators available via videoconference, both for psychological care in the first line and for the mobile teams of the networks mental health care.""]"
PRT,TUR,141,exchange_cooperation,object_of_pressure,0.8,"The mentions often frame Turkey as a target of criticism and concern, particularly regarding its treatment of refugees and Kurds. Phrases like 'terrorize more than 100,000 Kurds' and 'inhuman, selective and exploitative character of the European Union's policy for migration' indicate a negative stance towards Turkey's actions.","[""violation of rights enshrined in the UN Charter"", ""terrorize more than 100,000 Kurds"", ""inhuman, selective and exploitative character of the European Union's policy for migration""]"
BIH,GBR,140,learning_emulation_from,model_to_emulate,0.8,"The mentions frequently refer to the adoption of minutes and decisions from the Parliamentary House of BiH, suggesting an emulation of practices from other countries, likely the UK given the context of the speaker parliament being BiH.","[""Agenda 1 . The adoption of the minutes of the 14th session of the Parliamentary House of BiH"", ""Agenda 1 . The adoption of the minutes from the 17th session of the Parliamentary Assembly of BiH's House of Representatives""]"
