parliament,n_migration_country_mentions,n_speeches,n_speakers,n_targets,mean_concreteness,mean_sentiment,one_row_profile,referencing_style,target_concreteness_profile,migration_direction_profile,event_evidence_profile,cohort_profile,temporal_profile,policy_instrument_profile,narrative_sentiment_profile,prompt_selection_relevance,dashboard_takeaway,confidence
GRC,10440,2588,401,118,3.2614,1.5245,"GRC parliament discussed migration with 10,440 mentions across 2,588 speeches, focusing on external transnational migration and general migration cohorts, with peaks in 2016 and 2020.","The parliament predominantly refers to Turkey, the European Union, and Germany, using a mix of concrete and abstract language.","The mentions are mostly mixed, with some leaning towards concreteness, indicating specific country names and details are used.","The majority of discussions (85.41%) revolve around external transnational migration, with a smaller share discussing inbound internal migration.","There is no strong evidence of event-like, named, concrete migration events, though there are mentions of specific countries and contexts.","General migration and refugees are the most discussed migrant groups, accounting for 60.54% and 35.07% of mentions respectively.","Migration discussion peaked in 2016 and 2020, suggesting potential agenda shifts or shocks during those years.","Neutral reporting is the most common approach, followed by learning from others and exchange cooperation, with less emphasis on coercion or competition.","The sentiment is predominantly negative (61.46%), with a significant share being neutral (23.12%), and a smaller share positive (15.42%).","This parliament should be selected for further LLM close reading due to its high frequency of migration-related discussions, particularly around Turkey and the European Union, and the presence of concrete examples in its discourse.","GRC parliament frequently discusses migration, especially external transnational migration, with a focus on Turkey and the EU, and tends to adopt a neutral reporting stance.",0.85
HRV,6893,1551,264,121,3.2286,2.0797,"HRV parliament discussed migration primarily through the lens of external transnational movements, focusing on countries like Ukraine, Germany, and Turkey, with a mix of abstract and concrete references, and a notable peak in discussions around 2020.","The parliament predominantly referenced other countries and entities in a neutral reporting style, with some learning and emulation from other states and occasional coercion or intervention.","The mentions were mixed, leaning towards abstract references, indicating a balance between general discussions and specific cases.","The parliament focused mainly on external transnational migration, with a smaller share discussing inbound domestic migration and a significant portion with ambiguous direction.","There was no strong evidence of event-like, named, or concrete migration events, though there were mentions of crises and conflicts, particularly related to Ukraine.","The majority of the discussion centered on general migration and refugees, with a smaller focus on economic migrants and asylum seekers.","Migration discussions peaked in 2020, followed by 2019 and 2017, suggesting potential agenda shifts or shocks during those years.","General policy measures dominated the discourse, with significant mentions of border control and national security, reflecting a focus on managing migration flows.","The sentiment was generally negative, with a slight positive tilt, indicating concerns about risks and challenges associated with migration.","This parliament's migration discourse is relevant for understanding how a Central European country responds to regional and global migration trends, especially in the context of the Ukrainian conflict.","HRV parliament's migration discussions are characterized by a focus on external transnational migration, with a significant emphasis on general policy measures and border control, and a notable increase in discussions around 2020.",0.85
HUN,13044,2748,251,134,3.2444,1.7064,"Hungarian parliament discussed migration primarily with external transnational flows, focusing on the European Union, Germany, and other EU member states, with a strong emphasis on negative sentiment and administrative concerns.","Hungary predominantly referenced entities and countries in an abstract manner, with a mix of concrete and abstract language, but leaned towards abstract when discussing specific entities.","Targets were mentioned concretely, with specific country names used frequently, but the overall discussion was often framed in abstract terms related to broader concepts like the European Union and Schengen area.","Migration was predominantly discussed in terms of external transnational flows, with some focus on inbound domestic migration and ambiguous cases.","There is no clear event-like, named, concrete migration evidence provided in the high-concreteness mentions, but there are references to broader geopolitical issues affecting migration.","The majority of country references pertained to general migration, with significant mentions of refugees and economic migrants, but less focus on asylum seekers, students, or high-skilled workers.","Migration discussions peaked in 2015, 2016, and 2018, indicating potential agenda shifts or shocks during these years, such as the EU migrant crisis in 2015 and 2016.","Policy measures focused on general policies, border control, and national security, with less emphasis on integration, resource allocation, or international law.","The narrative sentiment was predominantly negative, reflecting concerns about risks and administrative challenges, with some positive sympathy and benefit sentiments noted.","This parliament's migration discourse is relevant for further LLM close reading due to its focus on external transnational migration, abstract framing, and negative sentiment, which could provide insights into Hungary's stance on EU migration policies and its response to geopolitical events.","Hungary's parliament shows a strong focus on external migration, particularly from the European Union and neighboring countries, with a negative sentiment and emphasis on administrative and security concerns.",0.85
ISL,4141,1036,122,100,3.2501,1.6632,"The Icelandic parliament discussed migration primarily through mentions of external transnational migration, focusing on countries like Greece, the USA, and Ukraine, with a strong emphasis on refugees and humanitarian obligations.","The parliament predominantly refers to other countries and entities in a neutral reporting style, with some learning and emulation from other countries and occasional coercion or intervention.","The mentions are mixed in concreteness, leaning towards concrete references, often involving specific individuals and detailed descriptions of situations.","The parliament focuses mainly on external transnational migration, with a significant share of mentions related to inbound domestic migration and refugees.","There is no clear event-like, named, concrete migration evidence provided, but there are mentions of specific individuals and situations, suggesting a focus on ongoing processes rather than discrete events.","The majority of the mentions pertain to general migration and refugees, with a smaller share related to economic migrants and students.","Migration discussions peaked in 2022 and 2021, with notable mentions in 2015 and 2020, indicating potential agenda shifts or shocks during these years.","The parliament discusses a range of policy measures, with a focus on general policies, border control, and asylum procedures, reflecting a comprehensive approach to migration management.","The sentiment is generally negative, with a significant portion being neutral, indicating a cautious and often critical stance towards migration issues.","This parliament should be selected for further LLM close reading due to its detailed and varied discussion of migration, particularly focusing on refugees and humanitarian obligations, and the presence of concrete examples and detailed descriptions.","Icelandic parliamentary discourse on migration is characterized by a focus on external transnational migration, especially concerning refugees and humanitarian obligations, with a mix of concrete and abstract references and a predominantly negative sentiment.",0.85
ITA,6212,1364,342,126,3.2301,1.7535,"Italy's parliament discussed migration extensively, with a focus on external transnational migration and Libya as a key country, peaking in 2015 and 2017.","The parliament predominantly uses Libya (LBY) and other Mediterranean countries as concrete examples, with a mix of abstract and concrete references.","References are mixed, with a slight lean towards abstract references, indicating both specific and general discussions.","The parliament focuses primarily on external transnational migration, with a small share discussing inbound domestic migration.","There is no strong evidence of event-like, named, concrete migration events, though there are mentions of specific incidents and crises.","General migration and refugees are the most discussed cohorts, with a significant share of mentions related to refugees.","Migration discussions peaked in 2015 and 2017, likely due to the migrant crisis and related events.","General policy measures and national security are the most prominent policy instruments discussed, with less emphasis on border control and integration.","The sentiment is predominantly negative, with a secondary positive sentiment related to humanitarian obligations and benefits.","This parliament should be selected for further LLM close reading due to its high frequency of migration-related discussions, particularly focusing on external transnational migration and specific countries like Libya.","Italy's parliament shows a strong focus on external migration, especially from Libya, with a mix of abstract and concrete references. The discourse is largely negative, with a focus on security and national identity.",0.85
LVA,1807,438,109,90,3.2733,1.7781,"Latvia (LVA) discussed migration-related topics 1,807 times over 8 years, focusing on external transnational migration and mentioning Russia, Ukraine, and the European Union frequently.","Latvia predominantly refers to other countries and entities in a neutral reporting style, with some learning/emulation and coercion/intervention.","Migration-related mentions are mixed, leaning towards concreteness, often referring to specific countries and entities such as Russia, Ukraine, and the European Union.","External transnational migration dominates, with some ambiguity and a small share of inbound internal migration.","Event-like, named, and concrete migration evidence is present, particularly around the peak years of 2016, 2018, 2019, and 2022, likely due to specific events or policy shifts.","General migration and refugees are the most discussed migrant groups, with a smaller share of asylum seekers and economic migrants.","Migration discussions peaked in 2022, 2016, 2021, and 2018, suggesting potential agenda shifts or significant events influencing migration discourse.","General policy measures and national security are the most prominent policy instruments discussed, followed by border control and integration policies.","The sentiment is predominantly negative, with a significant share of neutral and positive sentiments, indicating a complex mix of risk, benefit, and administrative perspectives.","This parliament's migration discourse is relevant for understanding regional migration dynamics, especially in relation to neighboring countries and the European Union.","Latvia's migration policy focuses on external transnational migration, with a strong emphasis on general policy measures and national security, and frequent mentions of Russia and Ukraine.",0.85
NLD,22291,6470,332,142,3.2685,1.7413,"The NLD parliament discussed migration primarily through the lens of external transnational flows, focusing on countries like Turkey, Greece, and Syria, with a strong emphasis on general migration and border control policies.","The parliament predominantly referenced countries and entities in a concrete manner, often naming specific countries such as Turkey, Greece, and Syria, rather than using abstract terms.","The mentions were mostly concrete, with a slight lean towards mixed concreteness, indicating a balanced approach between specific examples and broader concepts.","The parliament focused mainly on external transnational migration, with occasional mentions of ambiguous directions and very few references to inbound domestic migration.","There is some event-like, named, concrete migration evidence, particularly around peak years like 2016 and 2015, where discussions centered on specific events such as the refugee crisis and border management.","The majority of the country references pertained to general migration, with significant mentions of refugees and asylum seekers, reflecting a broad focus on migration challenges.","Migration discussions peaked in 2016 and 2015, likely due to the European refugee crisis, with other notable peaks in 2018 and 2017, possibly related to ongoing geopolitical tensions and policy shifts.","The parliament predominantly used neutral reporting and learning emulation from other countries as policy instruments, with less frequent use of exchange cooperation and coercion intervention.","The sentiment was generally negative, with a significant share of neutral and positive sentiments, suggesting a mix of risk concerns and humanitarian obligations.","The parliament's migration discourse is highly relevant for further LLM close reading, given the prominence of specific country mentions, concrete policy measures, and the focus on external transnational migration.","The NLD parliament's migration discourse is characterized by a focus on external transnational migration, with a strong emphasis on border control and general migration policies, driven by concrete country references and event-like discussions.",0.85
NOR,8573,2090,255,109,3.2412,1.9441,"Norway discussed migration primarily in relation to external transnational flows, focusing on countries like Greece, Afghanistan, and Syria. The parliament showed a mix of abstract and concrete references, with a slight lean towards concreteness. There were yearly peaks in 2015 and 2016, likely due to the European migrant crisis.","The parliament predominantly used neutral reporting and learning/emulation styles when discussing migration, indicating a focus on international cooperation and policy learning rather than direct pressure or competition.","Targets were generally referenced concretely, with specific country names and entities like the European Union and Schengen area appearing frequently. However, there was also a significant share of abstract references, particularly in discussions of broader concepts like national identity and humanitarian obligations.","The parliament focused mainly on external transnational migration, with occasional mentions of ambiguous directions and very few references to inbound domestic migration or outbound domestic migration.","There was no strong evidence of event-like, named, concrete migration events. The mentions tended to be more general and policy-oriented, with occasional references to specific crises like the Russian invasion of Ukraine.","The majority of mentions referred to general migration and refugees, with a smaller but significant portion related to asylum seekers. Economic migrants and students were rarely mentioned.","Yearly peaks in 2015 and 2016 suggest a response to the European migrant crisis, while 2020 saw a notable decrease in mentions, possibly due to changes in the political landscape or shifting priorities.","General policy measures and border control were the most prominent policy instruments discussed, followed by national security and integration policies. Returns and deportations were also mentioned, indicating a balanced approach to migration management.","The sentiment was predominantly negative, reflecting concerns about risks and security threats, but there were also positive sentiments related to humanitarian obligations and economic contributions. Neutral sentiments were common, especially in administrative contexts.","This parliament would be highly relevant for LLM close reading as it shows a mix of concrete and abstract references, yearly peaks in 2015 and 2016, and a focus on external transnational migration, which could provide insights into how different factors influence migration policy discourse.","Norway’s parliament has a nuanced approach to migration, balancing concrete policy measures with abstract discussions of national identity and humanitarian obligations. The yearly peaks in 2015 and 2016 indicate a strong response to the European migrant crisis, while the shift in 2020 suggests changing priorities or external factors influencing the discourse.",0.85
POL,7128,1796,481,104,3.2679,2.2124,"Poland's parliament discussed migration primarily through the lens of external transnational migration, focusing on Ukraine, Belarus, and the European Union. The discourse was largely neutral and administrative, with a slight lean towards negative sentiment regarding risks.","Poland predominantly referenced Ukraine, the European Union, and other Eastern European countries, often in a neutral or learning/emulation context.","The mentions were mixed, with a slight lean towards concreteness, indicating specific policies and entities were often discussed rather than abstract concepts.","The majority of discussions focused on external transnational migration, with a notable peak in 2016 and 2022, likely related to geopolitical events such as the Ukrainian crisis and the broader European migration crisis.","There was concrete event evidence, particularly in 2016 and 2022, suggesting significant geopolitical events influenced the discourse, such as the Russian aggression against Ukraine and the broader European migration crisis.","The primary focus was on general migration and refugees, with a significant share of mentions related to refugees (23.68%).","Migration discussions peaked in 2016 and 2022, coinciding with major geopolitical events, indicating potential agenda shifts or shocks.","General policy measures dominated the discourse, followed by border control and national security measures, reflecting a focus on managing migration flows and ensuring national security.","The sentiment was predominantly negative, with a slight lean towards neutrality, indicating concerns over risks associated with migration.","This parliament should be selected for further LLM close reading due to its significant focus on external migration, particularly from Ukraine, and the strong negative sentiment surrounding migration issues, which could provide insights into the political climate and policy responses.","Poland's parliament has a strong focus on external migration, especially from Ukraine, and uses a predominantly neutral and administrative approach, with significant peaks in 2016 and 2022 related to geopolitical events.",0.85
PRT,2970,717,175,102,3.2212,1.6235,"Portuguese parliament discussed migration primarily through the lens of external transnational migration, focusing on countries like Turkey, the USA, and Ukraine, with a strong emphasis on humanitarian obligations and economic contributions.","The parliament predominantly referenced other countries and entities in a neutral reporting style, with some learning and emulation from other states and a significant amount of coercion and intervention towards others.","The mentions were mixed, leaning towards abstract concepts, with a notable share of concrete examples, especially in discussions around concrete actions and policies.","The parliament focused mainly on external transnational migration, with a smaller but significant portion discussing inbound domestic migration.","There was no clear event-like, named, or concrete migration evidence provided, but there were mentions of specific policies and actions related to migration.","The majority of the discussion centered on refugees and general migration, with a smaller focus on economic migrants and asylum seekers.","Migration discussions peaked in 2016, 2018, and 2022, indicating potential agenda shifts or external shocks during those years.","The parliament frequently discussed general policies, national security measures, and international law, with less emphasis on border control and resource allocation.","The sentiment was predominantly negative, with a significant share being neutral, reflecting a complex mix of concerns and policies.","This parliament would be relevant for LLM close reading due to its focus on external transnational migration, the prominence of humanitarian and economic frames, and the presence of concrete policy discussions.","Portugal's parliament has a nuanced approach to migration, balancing humanitarian and economic perspectives while often referencing other countries in a neutral or coercive manner.",0.85
SRB,2669,638,194,105,3.2364,2.2011,"Serbian parliament discussed migration primarily with external transnational flows, focusing on countries like Croatia, Kosovo, and the European Union. It showed a mix of abstract and concrete references, with a slight lean towards concreteness. The sentiment was generally negative, with peaks in 2018, 2019, and 2021.","The parliament predominantly referenced the European Union and neighboring countries like Croatia and Kosovo, indicating a focus on regional and supranational entities rather than individual migrants or specific policies.","The mentions were mixed, leaning slightly towards concreteness, with concrete examples including specific individuals and events, such as terrorist acts and security risks.","The parliament focused mainly on external transnational migration, with a small share discussing inbound domestic migration.","There was evidence of event-like, named, and concrete migration discussions, particularly around security threats and crises, such as terrorist acts and the migrant crisis.","General migration and refugees were the most discussed cohorts, with a significant emphasis on security and humanitarian aspects.","Migration discussions peaked in 2018, 2019, and 2021, suggesting potential agenda shifts or external shocks during these years.","General policy measures and border control were the most prominent policy instruments discussed, reflecting a focus on security and administrative measures.","The narrative sentiment was predominantly negative, with a focus on security risks and administrative concerns, though there were positive elements related to humanitarian obligations.","This parliament should be selected for further LLM close reading due to its focus on external transnational migration, concrete references to specific events and individuals, and the prominence of security and administrative concerns in its discourse.","Serbian parliament's migration discourse is characterized by a focus on external transnational migration, with a strong emphasis on security and administrative measures. The discourse is largely negative and concrete, with notable peaks in 2018, 2019, and 2021.",0.85
SVN,10381,1549,166,109,3.2663,1.7623,"The Slovenian parliament discussed migration extensively, focusing on external transnational migration and the European Union, with a peak in 2016.","The parliament predominantly refers to other countries and entities in a neutral reporting style, with some learning and emulation from others.","The mentions are mixed, leaning towards concreteness, with specific country names and entities used frequently.","The parliament focuses primarily on external transnational migration, with occasional mentions of ambiguous directions and very few references to inbound domestic migration.","There is no strong evidence of event-like, named, concrete migration events; instead, the discussions tend to be more general and policy-oriented.","The majority of the country references pertain to general migration, refugees, and economic migrants, with a smaller share related to asylum seekers and students.","Migration discussions peaked in 2016, followed by significant activity in 2015, 2017, and 2019, suggesting potential agenda shifts or shocks during these years.","The dominant policy instruments mentioned are general policies and border control measures, with less emphasis on integration, resource allocation, and asylum procedures.","The sentiment is predominantly negative, with a focus on risk and administrative concerns, though there are some positive sentiments related to humanitarian obligations and national identity.","This parliament's discussions are highly relevant for understanding the broader European context, especially regarding border management and EU membership.","Slovenia's parliament shows a strong focus on external migration and EU-related issues, with a notable increase in discussions around 2016, likely due to regional migration pressures.",0.85
