parliament,n_mentions,dominant_framing,secondary_framing,confidence,rationale
NOR,326,legal_obligation,humanitarian_responsibility,0.85,"The majority of the snippets emphasize Norway's legal obligations and humanitarian responsibilities towards asylum seekers and refugees, such as accepting Syrian quota refugees and dealing with the influx of migrants. While there are mentions of security issues and capacity pressure, they are not the primary focus."
TUR,381,security_issue,demographic_need,0.6,"The majority of the snippets emphasize the security concerns related to migration, such as terrorism and civil unrest in neighboring countries. However, there are also mentions of demographic needs, particularly labor shortages and the need for refugees due to conflict, which contribute to the overall framing."
POL,249,mixed,humanitarian_responsibility,0.6,"The snippets show a mix of framing around the influx of migrants as a security issue and a humanitarian responsibility. Some snippets emphasize the need to address the influx of migrants as a security concern, while others highlight the duty to protect and assist migrants, particularly those from Ukraine."
SVN,597,security_issue,legal_obligation,0.6,"The majority of the snippets emphasize concerns about the influx of migrants as a security issue, mentioning terrorism, border protection, and the need to prevent mass immigration. There are also mentions of legal obligations, particularly regarding the EU and asylum laws, which suggest a secondary framing."
GBR,1014,capacity_pressure,demographic_need,0.6,"The majority of the snippets emphasize the strain and pressure on the system due to the large number of migrants coming into the UK, which aligns with 'capacity_pressure'. However, there are also mentions related to demographic needs, such as addressing labour shortages and skills gaps, which suggest a secondary framing of 'demographic_need'."
HRV,593,demographic_need,security_issue,0.6,"The majority of the snippets discuss the labor market and the need for workers, indicating a focus on demographic needs. However, there are also mentions of security issues, such as the influx of migrants potentially leading to a need for border control and addressing the source of migrants (e.g., Syria). Given the preponderance of labor-related discussions, the framing leans towards demographic need."
BGR,124,security_issue,demographic_need,0.6,"The majority of the snippets emphasize border control and concerns about the influx of migrants potentially leading to a refugee camp situation, which aligns with the security issue framing. However, there are also mentions of demographic needs, particularly in relation to labor shortages and the need for integration, which suggest a secondary framing."
CZE,501,security_issue,capacity_pressure,0.85,"The majority of the snippets emphasize concerns about the potential risks and challenges associated with an influx of migrants, particularly in terms of security and the strain on social systems. While there are mentions of capacity pressure, the overarching theme is framed around security issues."
LVA,56,legal_obligation,security_issue,0.6,"The majority of the snippets discuss the legal obligations of countries to admit their citizens and the challenges posed by the influx of migrants, particularly in relation to border control and internal movement restrictions. While there are some mentions of security issues, the primary focus is on the legal and ethical responsibilities of the country."
BEL,689,security_issue,legal_obligation,0.85,"The majority of the snippets emphasize border controls, surveillance, and the need to prevent illegal entry, which aligns with a security issue framing. There are also mentions of legal obligations related to the Dublin Regulation and asylum laws, indicating a secondary focus on legal obligations."
FIN,292,humanitarian_responsibility,mixed,0.6,"The majority of the snippets emphasize Finland's role in providing assistance to people in need, particularly through international organizations and peacekeeping efforts. This aligns closely with the humanitarian responsibility framing. However, some snippets also touch on legal obligations (e.g., refugee status) and demographic needs (e.g., seasonal labor), indicating a mixed framing."
ITA,496,legal_obligation,demographic_need,0.6,"The majority of the snippets discuss the legal obligations and responsibilities of Italy towards migrants, particularly in terms of returning irregular immigrants and the EU's role. There is also a secondary focus on the demographic need to manage the influx of migrants, especially in relation to labor shortages and the aging population."
EST,366,legal_obligation,demographic_need,0.6,"The discourse primarily focuses on the legal obligations and EU policies regarding migration, such as open doors and free movement. However, there is a secondary emphasis on the demographic impact, particularly labor shortages and population dynamics."
SRB,213,legal_obligation,demographic_need,0.6,"The discourse primarily emphasizes Serbia's legal obligations towards migrants, particularly regarding asylum and visa policies. There is also a secondary focus on demographic needs, such as retaining young people and addressing labor shortages, though this is less prominent."
