country,year,entity_content,concreteness_score,event_name,evidentiary_use,evidenti_use
LVA,2021,European Union,3.714,unspecified,unspecified,
HUN,2015,European Union,3.627,construction_of_fence,push_institutional_reform,
HUN,2015,European Union,3.5,unspecified,unspecified,
HUN,2016,European Union,3.52,unspecified,reassure,
HUN,2017,European Union,3.543,unspecified,unspecified,
HUN,2018,European Union,3.509,Article 7 procedure启动,,unspecified
HUN,2019,Europe,3.511,unspecified,unspecified,
HUN,2019,Europe,3.511,unspecified,unspecified,
HUN,2020,European Union,3.5,unspecified,push institutional reform,
FIN,2016,Turkey,3.505,unspecified,justify restriction,
FIN,2016,Papua New Guinea,3.5,unspecified,neutral report,
FIN,2016,Italy,3.56,unspecified,unspecified,
FIN,2017,Peru,3.56,unspecified,,unspecified
FIN,2018,Afghanistan,3.545,returning_children_or_families,justify_restriction,
FIN,2020,European Union,3.527,unspecified,neutral report,
FIN,2020,Europe,3.556,unspecified,,unspecified
FIN,2021,European Union,3.518,unspecified,unspecified,
SRB,2017,Western Europe,3.51,unspecified,demand burden-sharing,
SRB,2018,Republic of Croatia,4.026,unspecified,unspecified,
SRB,2018,Republic of Croatia,4.026,unspecified,unspecified,
SRB,2018,Iran,3.51,visa-free regime lifting,unspecified,
SRB,2019,Kosovo,3.548,unspecified,unspecified,
SRB,2019,Kosovo,3.548,unspecified,unspecified,
SRB,2020,Republic of Albania,3.56,unspecified,neutral,
SRB,2021,Hungary,3.661,unspecified,unspecified,
ESP,2015,European Union,3.666,unspecified,unspecified,
ESP,2015,European Union,3.556,European Union structure setup,push institutional reform,
ESP,2018,European Union,3.5,unspecified,express solidarity,
ESP,2018,Canada,3.65,unspecified,unspecified,
ESP,2018,European Union,3.518,unspecified,unspecified,
ESP,2022,European Union,3.53,unspecified,unspecified,
ESP,2022,European Union,3.529,unspecified,neutral report,
ESP,2022,Morocco,3.544,externalisation_of_borders_and_migration_control,push_institutional_reform,
EST,2015,European Union,3.527,unspecified,unspecified,
EST,2016,Schengen,3.526,expulsion,justify restriction,
EST,2019,Spain,3.518,unspecified,unspecified,
EST,2019,Finland,3.538,unspecified,,unspecified
EST,2020,Mediterranean,3.527,unspecified,unspecified,
EST,2021,Finland,3.537,unspecified,unspecified,
EST,2022,European Union,3.744,unspecified,neutral report,
EST,2022,European Union,3.575,unspecified,unspecified,
HRV,2015,Europe,3.527,unspecified,unspecified,
HRV,2017,Venezuela,3.65,unspecified,unspecified,
HRV,2018,Austria,3.65,unspecified,unspecified,
HRV,2019,Hungary,3.51,unspecified,unspecified,
HRV,2019,European Union,3.5,internal migration in the European Union,neutral report,
HRV,2020,United Kingdom,3.525,unspecified,unspecified,
HRV,2021,Republic of Serbia,3.506,unspecified,unspecified,
HRV,2021,Republic of Serbia,3.514,unspecified,neutral report,
UKR,2016,European Union,3.522,legislative proposal,support,
UKR,2016,European Union,3.714,unspecified,unspecified,
UKR,2018,Europe,3.543,unspecified,unspecified,
UKR,2018,Europe,3.56,unspecified,unspecified,
UKR,2021,Republic of Belarus,3.563,unspecified,unspecified,
UKR,2021,Republic of Poland,3.57,unspecified,unspecified,
UKR,2022,European Union,3.524,unspecified,unspecified,
UKR,2022,Republic of Poland,3.534,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,unspecified,
ISL,2017,United States,3.602,denial_of_entry,justify_restriction,
ISL,2017,United States,3.602,denial_of_entry,justify_restriction,
ISL,2020,Greece,3.519,unspecified,justify restriction,
ISL,2021,Saudi Arabia,3.6,unspecified,unspecified,
ISL,2021,Syria,3.538,unspecified,neutral report,
ISL,2021,Sweden,3.5,unspecified,unspecified,
ISL,2021,United States,3.5,unspecified,unspecified,
ISL,2021,United States,3.5,unspecified,unspecified,
PRT,2016,European Union,3.676,unspecified,push institutional reform,
PRT,2016,European Union,3.676,unspecified,push institutional reform,
PRT,2016,European Union,3.501,EU-Turkey agreement,demand burden-sharing,
PRT,2016,European Union,3.86,European Union-Turkey Agreement rejection,express solidarity,
PRT,2016,European Union,3.86,European Union-Turkey Agreement rejection,express solidarity,
PRT,2016,European Union,3.618,open humanitarian corridors,push institutional reform,
PRT,2018,United States,3.517,Condemnation by the division of families and detention of migrant children,express solidarity,
PRT,2022,Andorra,3.56,consulate closure,unspecified,
GRC,2015,Europe,3.586,unspecified,unspecified,
GRC,2016,Europe,3.52,unspecified,neutral report,
GRC,2019,European Union,3.538,unspecified,neutral report,
GRC,2019,United States of America,3.615,unspecified,unspecified,
GRC,2020,European Union,3.527,unspecified,unspecified,
GRC,2020,Cyprus,3.5,unspecified,unspecified,
GRC,2020,Turkey,3.577,unspecified,unspecified,
GRC,2021,Republic of Malta,3.682,unspecified,unspecified,
NOR,2015,Russia,3.544,unspecified,,neutral report
NOR,2017,Syria,3.544,unspecified,neutral report,
NOR,2018,Russia,3.53,unspecified,unspecified,
NOR,2019,Europe,3.526,unspecified,neutral report,
NOR,2019,Europe,3.5,unspecified,express solidarity,
NOR,2019,Turkey,3.541,unspecified,neutral report,
NOR,2020,Greece,3.64,relieving Greece and helping children in refugee camps,express solidarity,
NOR,2020,Europe,3.677,unspecified,express solidarity,
BGR,2015,Syrian Arab Republic,3.54,prevent immigrants,justify restriction,
BGR,2016,European Union,3.527,unspecified,unspecified,
BGR,2016,European Union,3.57,unspecified,unspecified,
BGR,2018,European Union,3.532,unspecified,unspecified,
BGR,2018,European Union,3.564,unspecified,neutral,
BGR,2018,European Union,3.564,unspecified,neutral,
BGR,2018,Republic of Serbia,3.516,unspecified,unspecified,
BGR,2019,European Union,3.559,unspecified,unspecified,
NLD,2015,European Union,3.56,unspecified,neutral report,
NLD,2016,Curaçao,3.595,unspecified,unspecified,
NLD,2018,Schengen,3.6,lifting borders,unspecified,
NLD,2018,Europe,3.5,unspecified,unspecified,
NLD,2018,Libya,3.504,drowning in the Mediterranean,express solidarity,
NLD,2020,United Kingdom,3.559,unspecified,unspecified,
NLD,2020,European Union,3.511,unspecified,neutral report,
NLD,2021,European Union,3.544,unspecified,justify restriction,
SVN,2015,European Union,3.524,unspecified,neutral_report,
SVN,2016,European Union,3.527,unspecified,express solidarity,
SVN,2018,European Union,3.505,European Union's response to migration,push institutional reform,
SVN,2018,Bosnia and Herzegovina,3.56,unspecified,unspecified,
SVN,2019,Europe,3.621,unspecified,justify restriction,
SVN,2019,Nigeria,3.5,unspecified,neutral report,
SVN,2021,Schengen,3.503,unspecified,unspecified,
SVN,2021,European Union,3.517,unspecified,push institutional reform,
