source,target,n_forward,n_reverse,ratio,primary_driver,rationale
CZE,SYR,350,0,350.0,crisis_visibility,"The mentions are focused on Syria's refugee crisis, indicating that Syria is a high-salience migration crisis site for Czech discussions."
GBR,LBY,349,0,349.0,crisis_visibility,"GBR frequently mentions LBY in the context of migration and law enforcement issues, indicating LBY's visibility as a crisis site, particularly for migration."
POL,BLR,348,0,348.0,crisis_visibility,"POL talks extensively about BLR, mentioning issues like migration agreements and political disputes, indicating BLR's visibility as a crisis site."
BEL,AFG,344,0,344.0,crisis_visibility,"The mentions are focused on Afghanistan's role as a country of origin for asylum seekers, indicating it is a high-salience migration crisis site."
BEL,MAR,340,0,340.0,crisis_visibility,"The mentions focus on Belgium's interactions with Morocco, particularly regarding migration, indicating Morocco's role as a high-salience migration crisis site."
SWE,DNK,339,0,339.0,diaspora_or_historical_ties,"The frequent mentions of Sweden (SWE) by Denmark (DNK) suggest strong historical and cultural ties, particularly given the proximity and shared labor market between the two countries."
HRV,DEU,338,0,338.0,diaspora_or_historical_ties,"The mentions predominantly refer to German workers and laws in Croatia, indicating a significant German diaspora or historical ties influencing Croatian discourse."
BEL,LBY,336,0,336.0,crisis_visibility,"The frequent mentions of Libya (LBY) by BEL indicate it is a high-salience migration crisis site, as evidenced by discussions on immigration and border management, and offers of support."
NOR,RUS,331,0,331.0,border_proximity,"NORway frequently mentions RUSsia due to their shared border, especially in the context of migration and sanctions."
NLD,AFG,317,0,317.0,crisis_visibility,"The mentions are primarily related to the Afghan refugee crisis, with NLD frequently discussing the situation in Afghanistan, indicating its high visibility as a crisis site."
ISL,USA,314,0,314.0,diaspora_or_historical_ties,"ISL mentions USA frequently, likely due to significant Icelandic diaspora in the US and historical ties, while USA does not mention ISL, indicating minimal reciprocal interest or interaction."
POL,GBR,314,0,314.0,historical_memory,"The mentions are rich in historical references to World War I reparations and labor market regulations for UK citizens in Poland, indicating a long-standing historical memory influencing discourse."
SWE,UKR,309,0,309.0,EU_accession_governance,"Sweden discusses Ukraine's application for EU membership and support, indicating the EU accession process as a key driver of the asymmetry."
NLD,LBN,309,0,309.0,crisis_visibility,"The mentions focus on Lebanon's role as a host country for refugees, indicating its visibility as a crisis site. There are no mentions of NLD talking about LBN, suggesting the crisis visibility is one-sided."
NOR,UKR,295,0,295.0,crisis_visibility,"NORway frequently mentions UKR because of the significant refugee crisis from Ukraine, with multiple references to aid and接纳难民。UKR对NOR的提及较少，因为没有类似的高能见度危机。"
BEL,LBN,294,0,294.0,crisis_visibility,"The mentions focus on refugees and camps in Lebanon, indicating a significant migration crisis involving Lebanon. The frequent references suggest Belgium is discussing its role and challenges related to this crisis."
ISL,DNK,293,0,293.0,diaspora_or_historical_ties,"The frequent mentions of Iceland (ISL) by Denmark (DNK) suggest strong historical or diaspora ties, given the detailed references to Icelandic society, policies, and cultural comparisons."
AUT,SYR,287,0,287.0,crisis_visibility,"The mentions focus on the Syrian conflict and refugee crisis, indicating that Austria is discussing the crisis more due to its visibility as a site of migration."
