target,source,n_mentions,framing_summary
UKR,SVN,92,"The Slovakian parliament frames Ukraine migration debates with a balance leaning towards solidarity, emphasizing humanitarian needs and obligations, while also addressing administrative procedures and temporary protection measures. It criticizes EU institutions for not treating all Ukrainian refugees as such and condemns political exploitation.

**Dominant frame:** Solidarity and humanitarian obligations with a critique of EU institutions."
UKR,HUN,273,"HUN frames the Ukrainian migrants primarily through a solidarity lens, emphasizing humanitarian aid and support, while also balancing this with administrative actions like job provision and infrastructure rebuilding. Risk and administrative framing are secondary.

Dominated by solidarity framing."
UKR,BGR,217,"Bulgarian parliamentarians frame the Ukrainian migration crisis with a balance of risk (e.g., potential influx) and solidarity (e.g., humanitarian obligations, funding allocations), while emphasizing administrative preparedness (e.g., digital capabilities, legal changes). They advocate for cooperation within the EU for financial support and coordination.

Dominant frame: **Balanced approach with emphasis on solidarity, administrative preparedness, and EU cooperation.**"
SYR,CZE,350,"Czech parliament frames Syria as a source of both humanitarian needs and potential security risks, emphasizing local control and the role of NGOs. They advocate for direct assistance and cooperation, but also mention the need for border control and managing migrants. Dominant frame: **Balanced approach with humanitarian aid and security concerns.**"
SYR,HRV,124,"HRV frames SYR through a risk-framing lens, emphasizing the refugee crisis as a consequence of past military interventions and criticizing EU and Turkish roles. Solidarity and administrative aspects are minimal. The dominant frame is **risk and blame**."
SYR,SWE,572,"Sweden frames Syria as a source of humanitarian crises and refugees, emphasizing the need for solidarity and acknowledging the burden on neighboring countries like Turkey. The focus is on the suffering caused by conflict and the ongoing influx of refugees. Administrative measures and past experiences with refugees are also discussed. Dominant frame: Solidarity and humanitarian concern with a balance of administrative and historical context."
SYR,ESP,102,"España emphasizes humanitarian concerns and obligations towards Syria, highlighting the need for geopolitical solutions and democratic governance. Administrative efforts include resettlement programs and reception centers. The dominant frame balances humanitarian solidarity with administrative action and criticism of past failures."
SYR,POL,67,"POL frames Syria as a site of humanitarian crisis and suffering, emphasizing the plight of refugees and the need for solidarity through direct assistance. There is also a mention of Poland’s administrative efforts and past actions. The dominant frame is **solidarity framing**, highlighting humanitarian concerns and Poland’s role in providing aid."
SYR,FRA,51,"FRA frames SYR through a risk-framing lens, emphasizing threats from Turkey’s actions and the potential for unpredictable consequences. There is a strong solidarity framing regarding humanitarian concerns and opposition to forced resettlement. Administrative framing includes financial support for stabilization efforts. Policy-remedy framing focuses on restricting Turkey’s influence and maintaining control over migration flows. Dominant frame: Risk and Threat Framing with Solidarity and Administrative Measures."
SYR,ITA,120,"Italy frames Syria as a source of humanitarian crises and terrorism, emphasizing the need for development cooperation and mine clearance but also highlighting the risks posed by terrorist activities. The dominant frame is a balance between humanitarian concern and security threats."
SYR,BIH,24,"BIH parliament frames SYR migrants through a risk and administrative lens, emphasizing the isolation and lack of communication with Syrian citizens, while also mentioning the potential for new waves of refugees. The dominant frame is risk-focused, highlighting the humanitarian plight and administrative neglect.

Risk-focused frame."
SYR,UKR,11,"UKR frames SYR migration debates with a strong risk framing, emphasizing the burden on Germany and the dangers of illegal migration. There is little solidarity or administrative detail, focusing instead on security measures and restrictions. The dominant frame is risk and burden."
SYR,SVN,154,"Slovenian parliament frames Syrian refugees through a lens of historical military intervention, questioning the legitimacy of their presence and emphasizing security risks. They highlight past conflicts but downplay humanitarian obligations. The dominant frame is **risk framing (security, threat)**."
SYR,EST,144,"ESTONIA frames SYRIA in migration debates with a balance leaning towards solidarity (humanitarian aid) and administrative (capacity) concerns, while also addressing security risks (conflict, extremism). The parliament emphasizes offering help to Syrians in Turkey and internally displaced people in Ukraine, acknowledging the role of Turkey as a transit country.

**Dominant frame:** Solidarity and administrative concerns with a security risk framing."
SYR,BEL,717,"Belgian parliament frames Syria primarily through a humanitarian lens, emphasizing the need for support and aid, while also discussing procedural issues related to refugee screening. There is less focus on security or administrative capacity. Dominant frame: Humanitarian obligation and support."
SYR,TUR,1082,"Turkish parliament frames Syria as a source of ongoing security threats and humanitarian challenges, emphasizing the need for military intervention to prevent migration. The focus is on security risks and administrative measures rather than humanitarian obligations or cooperative policies. Dominant frame: Risk and Security Framing."
SYR,AUT,287,"AUT frames Syrian migrants primarily through humanitarian and solidarity lenses, emphasizing the suffering of families and the need for assistance, while also mentioning economic motivations. Administrative details are minimal, and the focus on past conflicts highlights the ongoing crisis. The dominant frame is **solidarity and humanitarian concern**."
SYR,NLD,997,"The NLD frames Syria primarily through humanitarian and solidarity lenses, emphasizing the plight of refugees and the need for stability and reconstruction, while also balancing this with administrative concerns like refugee protection policies. Risk framing is minimal, focusing more on safety conditions rather than threats.

**Dominant frame:** Humanitarian and solidarity with Syrian refugees, balanced with administrative and policy considerations."
SYR,FIN,112,"Finland frames Syria as a security threat due to terrorism and instability, emphasizing procedural challenges in refugee processing and highlighting the complexity of international protection grounds. The risk framing dominates, with some solidarity and administrative elements. 

**Dominant frame:** Risk-framed security concerns and procedural challenges."
SYR,NOR,500,"Norway emphasizes humanitarian concerns and funding for Syrian refugees, particularly in neighboring countries like Jordan and Iraq, while highlighting the scale of displacement and need for international support. Dominant frame: Solidarity and humanitarian aid."
SYR,HUN,118,"HUN's parliament frames Syrian migration primarily through a risk and administrative lens, emphasizing skepticism about Syrian refugees' claims and the need for careful management. They also highlight past humanitarian efforts and express concern over population loss. The dominant frame is **risk and administrative framing**, with elements of solidarity and policy-remedy."
SYR,ISL,209,"ISL's parliament frames Syria as a source of humanitarian crises and refugee flows, emphasizing the need for solidarity and cultural understanding while also highlighting security risks and potential burdens. The dominant frame is a balance between humanitarian concerns and security threats.

Humanitarian and security concerns are equally emphasized, with a focus on cultural and procedural adjustments."
SYR,GRC,257,"GRC frames Syrian migrants primarily through a humanitarian lens, emphasizing the victims of war and conflict, while also highlighting security concerns and the need for careful assessment. The parliament discusses the high proportion of arrivals from Syria and related risks, but maintains a sense of obligation towards these refugees.

**Dominant frame:** GRC balances humanitarian concern with security and administrative caution regarding Syrian migrants."
SYR,PRT,39,"PRT frames SYR migration debates with a strong risk framing, highlighting war, terrorism, and ethnic cleansing, while also emphasizing humanitarian obligations and past actions. There is less focus on administrative procedures or specific policy remedies. Dominant frame: Risk and humanitarian obligation."
SYR,BGR,87,"BGR frames Syrian migrants through a mix of administrative and solidarity framings, emphasizing cooperation and humanitarian aid while also highlighting the burden and complexity of the Syrian crisis. The parliament discusses both procedural agreements and the human suffering, but leans more towards a balance of responsibility and action.

Dominant frame summary: BGR balances administrative and solidarity framings, addressing both procedural cooperation and humanitarian concerns regarding Syrian migrants."
SYR,SRB,51,"SRB frames SYR migrants through a balance of humanitarian concerns (solidarity with refugees) and administrative considerations (cooperation and capacity). There’s also a risk framing element regarding potential security threats from other nationalities. The dominant frame is a mix of humanitarian obligation and administrative pragmatism.

SRB emphasizes the positive contributions of Syrian migrants while also considering broader security and administrative implications."
SYR,LVA,9,"LVA frames Syria primarily through the lens of security threats and broader geopolitical concerns, mentioning terrorism, migration, and Russian actions. There is little emphasis on humanitarian obligations or administrative procedures. The focus is on potential risks and the need for vigilance.

**Dominant frame:** Risk-framing emphasizing security and threat."
LBY,CZE,101,"Czech parliament frames Libya primarily through a risk and administrative lens, emphasizing stability, return policies, and potential contributions to Libya’s functioning. They avoid strong humanitarian appeals but focus on procedural agreements and capacity-building. Dominant frame: Risk and Administrative Focus."
LBY,PRT,30,"Portugal frames Libya primarily through a humanitarian lens, emphasizing the causes of displacement due to external aggression and the dire conditions faced by migrants. There is also a strong administrative framing regarding international agreements and the failure of rescue operations. The dominant frame is **solidarity and humanitarian concern**."
LBY,ESP,83,"ESP frames LBY primarily through a risk and administrative lens, emphasizing the country as a source of refugees, failed state, and slave markets, while also discussing EU-Libya cooperation and rescue operations. The dominant frame is **risk and security, with a focus on Libya as a source of instability and human trafficking**."
LBY,TUR,82,"Turkish parliament frames Libya primarily through an administrative and solidarity lens, emphasizing support for the Libyan government, humanitarian aid, and energy security. They also highlight the need for security measures and international law compliance. 

**Dominant frame:** Administrative and solidarity focus with an emphasis on support for the Libyan government and humanitarian efforts."
LBY,FIN,30,"Finland frames Libya as a source of refugee crises and dangerous routes, emphasizing security risks and humanitarian concerns. It criticizes inhumane agreements and calls for responsibility. The dominant frame is **risk framing with a strong emphasis on security and humanitarian issues**."
LBY,SVN,61,"The Slovakian parliament frames Libya primarily through a risk and administrative lens, emphasizing security concerns and the need for cooperation, particularly with Italy. There is also a hint of policy-remedy framing around migration routes and conferences. The dominant frame is **risk and security**, with a focus on managing migration flows and regional stability."
LBY,EST,41,"EST frames LBY primarily through an administrative and policy-remedy lens, emphasizing agreements and procedures for managing migration, while also addressing security risks and humanitarian concerns. The parliament discusses financial incentives for relocation, the lack of governmental control, and the importance of cooperation with Italy and Malta. 

Dominant frame: Administrative and policy-remedy with secondary emphasis on security and humanitarian aspects."
LBY,HRV,48,"HRV frames LBY primarily through a risk and administrative lens, emphasizing cooperation and security concerns related to migration and the Mediterranean route. There is also a strong solidarity critique of NATO and American imperialism. The dominant frame is **administrative and risk-focused with a critique of external actors**."
LBY,NOR,69,"NORway frames Libya primarily through a risk and administrative lens, mentioning security concerns and human rights violations but also noting humanitarian efforts like resettlement. The parliament emphasizes both the dangers and the need for international cooperation.

Dominant frame: Administrative and risk-framed with humanitarian exceptions."
LBY,BEL,336,"Belgian parliament frames migration from Libya primarily through a risk and administrative lens, mentioning security threats, smuggling, and procedural challenges. There is some solidarity noted in discussions about humanitarian corridors and resettlement, but these are often critiqued as insufficient. The dominant frame is **risk and administrative focus with limited humanitarian emphasis**."
LBY,BGR,11,"BGR frames Libya as a financial powerhouse with significant resources but also as a source of migration crises, emphasizing the need for financial investment and agreements. The parliament highlights the lack of preparedness and calls for better cooperation with North African countries. Dominant frame: Administrative and risk framing with a focus on financial resources and agreements."
LBY,SRB,11,"SRB frames LBY through a balance of risk (terrorism) and administrative (reception centers) framings, with occasional solidarity (understanding of migrants' struggles) and policy-remedy (suggestions for EU action) elements. The dominant frame emphasizes shared challenges and calls for cooperative solutions.

**Dominant Frame Summary:** SRB primarily views LBY through a lens of shared security threats and calls for collaborative administrative solutions, with some acknowledgment of past conflicts."
LBY,GBR,349,"GBR frames Libya in migration debates with a balance of humanitarian concerns (e.g., granting protection) and security risks (e.g., stopping weapons flow to terrorists), alongside administrative efforts (e.g., Operation Sophia). The dominant frame emphasizes cooperation and stabilization efforts in Libya.

GBR's framing leans towards a mixed approach with a focus on both humanitarian obligations and security concerns regarding Libya."
LBY,POL,23,"POL frames Libya primarily through an administrative and policy-remedy lens, emphasizing the challenges of signing agreements due to political instability, while advocating for cooperation and border protection measures. The focus is on limiting smugglers and addressing migration issues through financial support.

**Dominant frame:** Administrative and policy-remedy framing with an emphasis on cooperation and border protection."
LBY,SWE,174,"Sweden frames Libya primarily through a risk and humanitarian lens, emphasizing the dangers migrants face and the need for aid, while also discussing administrative measures like financial support. The dominant frame is **risk and humanitarian concern**."
LBY,NLD,404,"The NLD frequently mentions Libya in migration debates, focusing on agreements and deals with the EU for managing refugee returns, while occasionally noting the dire conditions there. The dominant frame is administrative and cooperative, emphasizing procedural agreements over humanitarian concerns.

NLD's framing is primarily administrative and cooperative regarding Libya."
LBY,ISL,16,"ISL parliament frames Libya primarily through a risk and administrative lens, emphasizing security threats and the need for careful handling of refugees. They highlight Libya’s instability and the challenges of managing refugee camps, while also discussing international cooperation and policy remedies. Dominant frame: Risk and Administrative Framing."
LBY,ITA,486,"The Italian parliament frames Libya primarily through a risk and administrative lens, emphasizing security threats and the need for agreements and peacekeeping forces. There are occasional mentions of solidarity, particularly in the context of humanitarian concerns and the need for cooperation. The dominant frame is **risk and security**, with a focus on managing migration risks and ensuring stability in Libya."
LBY,AUT,64,"AUT frames Libya primarily through a risk and administrative lens, emphasizing security threats and the need for strict border control measures. There is little mention of humanitarian obligations or solidarity. The focus is on preventing migrants from reaching Italian shores and cooperating with Libya. Dominant frame: **Risk and administrative framing with a strong emphasis on security and border control.**"
LBY,GRC,87,"GRC frames Libya primarily through a risk and administrative lens, emphasizing security concerns and territorial disputes, while also mentioning humanitarian aspects in passing. The parliament discusses military sovereignty and agreements, but focuses heavily on threats and procedures. 

Dominant frame: Risk and Administrative Framing."
LBY,HUN,33,"Hungary frames Libya as a chaotic source of migrants, emphasizing security risks and past conflicts, while also highlighting the humanitarian situation in Turkey and advocating for EU cooperation. The dominant frame is risk-framing, with a secondary emphasis on solidarity through reference to EU leaders' statements.

Hungary's framing focuses on risk, security, and past conflicts, with some emphasis on solidarity and EU cooperation. Risk-framing dominates."
LBY,FRA,124,"FRA frames Libya primarily through a risk framing lens, emphasizing the dangers and human rights abuses migrants face there, while also mentioning administrative aspects related to migration flows. There is little solidarity or policy remedy framing beyond noting the EU’s involvement. The dominant frame is **risk and threat**."
MAR,NOR,10,"NORway focuses on administrative procedures and agreements, particularly regarding dual citizenship and participation in conferences in Morocco. There is little risk or solidarity framing, and the emphasis is on Norway’s specific policies and reservations. 

Dominant frame: Administrative and procedural focus with minimal risk or solidarity framing."
MAR,NLD,386,"NLD frames Morocco as a partner in deportation procedures but emphasizes the need for pressure if Morocco resists. The focus is on administrative cooperation and deportation rather than humanitarian concerns or solidarity. 

Dominant frame: Administrative framing with an emphasis on deportation procedures and pressure."
MAR,EST,8,"EST frames Morocco as a source of both security threats (terrorists) and humanitarian concerns (refugees), while also emphasizing administrative procedures related to migration agreements. The dominant frame is **risk framing with a secondary emphasis on administrative and humanitarian considerations**."
MAR,CZE,18,"Czech parliament emphasizes administrative and policy-remedy framings, focusing on agreements and financial assistance to Morocco while downplaying solidarity and humanitarian concerns. They advocate for redirecting funds from Morocco to more pressing issues. Dominant frame: Administrative and policy-remedy focus with limited solidarity."
MAR,FRA,33,"FRA frames Morocco primarily through a solidarity and administrative lens, emphasizing humanitarian cooperation and competent structures for managing migrants, while also addressing security concerns related to Western Sahara. Dominant frame: Solidarity and Administrative Cooperation."
MAR,ITA,18,"Italy frames Morocco in migration debates with a balance of administrative and policy-remedy framings, emphasizing bilateral agreements and cooperation, while also addressing humanitarian concerns and risks. Italy seeks to work with Morocco on reception centers and legal frameworks but highlights security and human rights issues.

**Dominant frame:** Administrative and policy-remedy focus with some risk and solidarity elements."
MAR,GRC,27,"GRC frames Morocco primarily through risk and administrative lenses, highlighting crime, security threats, and migration issues, while occasionally mentioning humanitarian aspects. The parliament emphasizes Moroccan nationals as sources of crime and illegal immigration, and discusses border controls and trafficking.

Dominant frame: Risk and administrative framing with occasional humanitarian elements."
MAR,BEL,340,"Belgian parliament emphasizes administrative and policy-remedy framings, discussing agreements and procedures with Morocco, while occasionally touching on risk and solidarity frames. They highlight medical, family, and economic criteria, and mention the implementation of a 2016 bilateral MoU.

Dominant frame: Administrative and policy-remedy framing with Morocco."
MAR,PRT,18,"Portugal emphasizes agreements and negotiations with Morocco, focusing on migration management through procedural discussions and bilateral accords, while also expressing concern over human rights abuses. Administrative and policy-remedy framing dominate, with some risk framing but minimal solidarity framing.

Dominant frame: **Administrative and policy-remedy framing with emphasis on agreements and negotiations.**"
MAR,SWE,94,"Sweden frames Morocco primarily through an administrative and policy-remedy lens, emphasizing deportation procedures and practices. There is also a risk framing element, particularly regarding unaccompanied minors and deportations. Solidarity is notably absent. The dominant frame is **administrative and procedural focus on deportations**."
MAR,ESP,365,"ESP frames migration from MAR through risk and administrative concerns, emphasizing security threats and procedural issues. There’s little solidarity or humanitarian framing; instead, focus is on control and cooperation with Morocco. The dominant frame is **risk and security, with an emphasis on controlling migration and dealing with Moroccan policies**."
MAR,POL,5,"POL frames migration from MAR primarily through a risk and administrative lens, mentioning human rights and legal judgments but focusing on security and procedural aspects. The parliament discusses border control, returns, and legal judgments without significant humanitarian emphasis.

Dominant frame: Risk and administrative framing with a procedural focus."
MAR,ISL,6,"ISL parliament frames Morocco primarily through a humanitarian lens, focusing on individual cases of young Moroccans seeking asylum and Iceland’s obligations under international conventions. There is also an administrative framing related to signing agreements. The dominant frame is **solidarity and humanitarian concern**."
MAR,HUN,15,"Hungary emphasizes procedural agreements and humanitarian assistance, mentioning Morocco’s historical and cultural significance, while also discussing migration management and cooperation. Dominant frame: Administrative and Solidarity Framing."
MAR,BIH,5,"BIH parliament primarily focuses on listing countries of origin for migrants, emphasizing Afghanistan, Pakistan, and Bangladesh, while mentioning Morocco and other North African countries. There is little risk framing, no solidarity framing, and minimal administrative or policy-remedy discussion. The dominant frame is **administrative and descriptive**, focusing on identifying and categorizing migrant origins."
MAR,SVN,42,"The speaker frames Morocco as a source of potential security threats, particularly through links to radical Islam, and emphasizes the administrative burden of managing migrants from these countries. There is little mention of humanitarian concerns or solidarity. The dominant frame is risk-framing, highlighting security and administrative challenges.

Risk-framing dominates, emphasizing security and administrative burdens from migrants."
MAR,AUT,45,"Austrian parliament frames Moroccan migrants primarily through a risk and administrative lens, emphasizing the need for agreements and reductions in development aid. Solidarity and policy remedies are minimal, focusing on restrictions and trade relations. Dominant frame: Risk and Administrative Framing."
