country,year,target_iso3,entity_content,policy_agency_type,migrant_cohort,policy_measure,sentiment_polarity,scheme,scheme_warrant,evidence_span,confidence
SWE,2016,LBY,Libya,competition,general_migration,allocation_of_resources,negative,argument_from_sign,increasing numbers of migrants indicate a broader condition,increasing numbers of migrants are coming from Libya,0.9
SWE,2019,FIN,Finland,competition,general_migration,general_policy,negative,argument_from_analogy,Nordic countries have different approaches despite similar regulations,"such as Finland and Sweden, but these two countries still have completely different search prints.",0.8
SWE,2020,AUS,Australia,competition,refugees,integration,positive,argument_from_sign,high employment rates among refugees indicate broader economic conditions,About 50 percent of the refugees get a job after five years in Australia.,0.9
SWE,2020,TUR,Turkey,competition,refugees,general_policy,negative,argument_ad_hominem,Jimmie Åkesson's actions are suspicious and indicate bad faith,Why does Jimmie Åkesson go to Turkey to incite refugees,0.9
SWE,2021,UKR,Ukraine,competition,general_migration,general_policy,negative,argument_from_sign,the situation in Ukraine has changed,Is the situation today in Ukraine worse than it was before or not?,0.8
SWE,2022,ESP,Spain,competition,economic_migrants,integration,neutral,argument_ad_hominem,the Minister for Economic Affairs has a bad motive or is incompetent,perhaps you can express yourself as the Minister for Economic Affairs did,0.9
TUR,2016,MLI,Mali,coercion_intervention_to,refugees,international_law,negative,argument_from_authority,U.N. troops are being reported to the Turkish press,U.N. troops that are being reported to the Turkish press,0.8
TUR,2019,SYR,Syria,coercion_intervention_to,refugees,returns_deportation,negative,argument_from_practical_reasoning,we want peace and peace in our geography,We want peace and peace in our geography,0.8
TUR,2020,LBY,Libya,coercion_intervention_to,general_migration,international_law,neutral,argument_from_authority,the Libyan National Covenant government is a legitimate authority,The Libyan National Covenant government has requested,0.9
TUR,2020,DEU,Germany,coercion_intervention_to,high_skilled_workers,general_policy,negative,argument_from_analogy,current situation may mirror historical events,"in 1933 , Hitler and his fascist party came to power in Germany",0.8
TUR,2020,IRQ,Iraq,coercion_intervention_to,asylum_seekers,national_security,positive,argument_from_authority,the High Council and your delegation are authoritative figures,"for the sake of my person , and for the sake of the continuation of the asylum seekers in our country 's safe zones",0.8
TUR,2022,SYR,Syria,coercion_intervention_to,refugees,returns_deportation,negative,argument_from_sign,the open-door policy leads to troubles and growth,and the troubles began and continued to grow,0.8
LVA,2016,KAZ,Republic of Kazakhstan,exchange_cooperation,general_migration,general_policy,neutral,no_clear_scheme,"","",1.0
LVA,2021,RUS,Russia,exchange_cooperation,general_migration,visas_mobility,negative,argument_from_analogy,the gold period of temporary residence permits has been long,when customers were sought in Russia and later in Central Asia,0.8
LVA,2022,BLR,Belarus,exchange_cooperation,general_migration,national_security,negative,argument_from_sign,artificial migration flows indicate attacks on borders,through artificial migration flows,0.8
LVA,2022,RUS,Russia,exchange_cooperation,general_migration,border_control,negative,argument_from_authority,the combined diplomatic and economic power of the European Union with NATO allies is sufficient to deter Russia,European Union 's combined diplomatic and economic power with NATO allies,0.9
LVA,2022,POL,Poland,exchange_cooperation,general_migration,border_control,negative,no_clear_scheme,"","",0.8
LVA,2022,RUS,Russia,exchange_cooperation,general_migration,international_law,negative,argument_from_authority,Russia has violated a number of rules of international law,"Russia , as an aggressor in this situation , has violated a number of rules of international law",0.9
ITA,2015,LBY,Libya,coercion_intervention_to,asylum_seekers,general_policy,negative,argument_from_authority,the Government does not have the authority in the international field,"the Government , of course , as yesterday also demonstrated the unnecessary presence of Minister Alfano in Brussels , does not have the authority in the international field",0.8
ITA,2017,LBY,Libya,coercion_intervention_to,general_migration,border_control,neutral,argument_from_practical_reasoning,to solve the problems together,The problems can only be solved together,0.9
ITA,2019,RUS,Russia,coercion_intervention_to,general_migration,general_policy,negative,argument_from_cause_to_effect,Europe's retreat has freed up conflicts,"Europe has been retreating , freeing up the conflicts",0.8
ITA,2020,LBY,Libya,coercion_intervention_to,refugees,national_security,neutral,argument_ad_hominem,we must change our way of being in Libya and of conceiving Libya,Italy and Europe are this and that,0.8
ITA,2020,MLT,Malta,coercion_intervention_to,refugees,general_policy,negative,argument_ad_hominem,"Salvini is ugly, bad, and sovereign","ugly, bad and sovereign minister Salvini",0.8
ITA,2022,RUS,Russia,coercion_intervention_to,refugees,general_policy,positive,argument_from_authority,Brothers of Italy and the European decision on sanctions,"supported also by Brothers of Italy , which condemns the aggression of Russia",0.9
NLD,2016,SYR,Syria,learning_emulation_from,refugees,returns_deportation,neutral,no_clear_scheme,"","",1.0
NLD,2018,HUN,Hungary,learning_emulation_from,refugees,general_policy,negative,argument_ad_hominem,NLD is attacking the credibility of Bulgaria by suggesting it does not meet the conditions.,Bulgaria ... does not fulfil the conditions,0.9
NLD,2019,RUS,Russia,learning_emulation_from,refugees,national_security,positive,argument_from_authority,European Commission and European Parliament can provide effective action,a European Commission and a European Parliament that are being strengthened,0.8
NLD,2019,RUS,Russia,learning_emulation_from,general_migration,general_policy,negative,argument_from_analogy,2015 motion was applied with great restraint,it was decided to apply the alternative location of LBTs from the Russian Federation with great restraint,0.8
NLD,2020,GBR,United Kingdom,learning_emulation_from,general_migration,general_policy,neutral,argument_from_practical_reasoning,clear communication is important for people knowing their rights,clear communication is of great importance,0.9
NLD,2022,GBR,United Kingdom,learning_emulation_from,general_migration,general_policy,neutral,argument_ad_hominem,the United Kingdom has talked to a lot of countries,the United Kingdom has talked to a lot of countries,0.8
POL,2017,SVK,Slovakia,learning_emulation_from,general_migration,general_policy,neutral,argument_from_analogy,Slovakia took the lead just after the referendum in the UK,Slovakia took the lead just after the referendum in the UK,0.8
POL,2019,UKR,Ukraine,learning_emulation_from,general_migration,general_policy,negative,no_clear_scheme,"",I don't know if you've been following what's going on between Hungary and Ukraine at the moment.,1.0
POL,2021,BLR,Belarus,learning_emulation_from,refugees,visas_mobility,negative,argument_ad_hominem,"the officers of the Belarusian KGB, internal troops, other special forces are involved in the operation","of hundreds of officers of the Belarusian KGB, internal troops, other special forces",0.9
POL,2022,ARM,Armenia,learning_emulation_from,general_migration,returns_deportation,neutral,no_clear_scheme,"","",0.8
POL,2022,SVK,Slovakia,learning_emulation_from,refugees,general_policy,negative,no_clear_scheme,"","",0.8
POL,2022,UKR,Ukraine,learning_emulation_from,general_migration,general_policy,positive,argument_from_sign,ending support is a sign of something,government programs are ending to support those who have accepted people fleeing the war from Ukraine into their homes,0.8
POL,2017,ITA,Italy,exchange_cooperation,general_migration,border_control,neutral,no_clear_scheme,"","",0.8
POL,2019,DEU,Germany,exchange_cooperation,refugees,allocation_of_resources,positive,no_clear_scheme,"","",0.8
POL,2021,DEU,Germany,exchange_cooperation,general_migration,border_control,neutral,argument_from_sign,this is a sign of a broader condition,which recorded between 700 and 1 000 500 citizens,0.9
POL,2022,UKR,Ukraine,exchange_cooperation,refugees,general_policy,neutral,no_clear_scheme,"","",1.0
POL,2022,ARM,Armenia,exchange_cooperation,general_migration,national_security,positive,argument_from_practical_reasoning,increasing relations and cooperation will prevent illegal migration,the effectiveness of cooperation between countries in preventing illegal migration,0.9
POL,2022,UKR,Ukraine,exchange_cooperation,general_migration,allocation_of_resources,positive,no_clear_scheme,"","",0.8
UKR,2017,DEU,Germany,competition,refugees,general_policy,negative,argument_ad_hominem,"Ukraine is a strategic partner for Europe, particularly for Germany","for Europe, for Germany, in particular",0.9
UKR,2017,DEU,Germany,competition,refugees,national_security,negative,argument_from_cause_to_effect,"if it's not implemented, hundreds of millions of refugees from Africa will flee to Europe and, above all, Germany","if it's not implemented, hundreds of millions of refugees from Africa will flee to Europe and, above all, Germany",0.9
UKR,2020,USA,United States,competition,general_migration,general_policy,positive,argument_from_authority,international colleagues and the European Union are frank about the need for a transparent competition,from the United States,0.8
UKR,2021,RUS,Russia,competition,high_skilled_workers,border_control,negative,argument_from_cause_to_effect,closure of borders causes people to work in businesses,for the closure of borders in Russia and Europe,0.9
ISL,2017,TUR,Turkey,exchange_cooperation,refugees,international_law,negative,no_clear_scheme,"","",0.9
ISL,2020,USA,United States,exchange_cooperation,general_migration,border_control,negative,argument_from_authority,the United Nations public organization is a legitimate source,United Nations public organization,0.8
ISL,2021,DNK,Denmark,exchange_cooperation,general_migration,general_policy,negative,argument_from_sign,buying in Denmark is a sign of an African takeout station,This note that you think you 're buying in Denmark is just a ticket to an African takeout station,0.9
ISL,2022,UKR,Ukraine,exchange_cooperation,refugees,general_policy,negative,argument_from_analogy,the entire Icelandic community has to stand together,Just as there are tens of thousands of new refugees in Ukraine today,0.9
ISL,2022,UKR,Ukraine,exchange_cooperation,refugees,international_law,positive,argument_from_authority,the international community should provide support,for the international community,0.8
ISL,2022,ITA,Italy,exchange_cooperation,general_migration,general_policy,neutral,argument_from_authority,the General contends with the Minister of Justice,the General contends with the Minister of Justice,0.8
BIH,2018,HRV,Republic of Croatia,exchange_cooperation,general_migration,national_security,positive,no_clear_scheme,"","",1.0
BIH,2019,SYR,Syria,exchange_cooperation,refugees,visas_mobility,negative,argument_from_sign,a new wave of refugees is being announced from Syria via Turkey to the European Union,a new wave of refugees is being announced from Syria via Turkey to the European Union,0.8
BIH,2020,HRV,Croatia,exchange_cooperation,general_migration,general_policy,negative,argument_from_sign,this is a common problem,This is a common problem for both Croatia and BiH and Serbia - Montenegro.,0.8
BIH,2020,USA,United States,exchange_cooperation,general_migration,general_policy,negative,argument_ad_hominem,"I'm afraid that it already exists based on this brief debate, there's a clear signal that these unfortunate people could serve to collect political points",there's a clear signal that these unfortunate people could serve to collect political points,0.8
BIH,2020,HRV,Croatia,exchange_cooperation,general_migration,general_policy,negative,argument_ad_hominem,Mr. Bećirović wanted to kick me out,Mr. Bećirović wanted to kick me out because I'm not taking part in the vote from the session,0.8
BIH,2022,UKR,Ukraine,exchange_cooperation,refugees,visas_mobility,negative,argument_from_cause_to_effect,the current chaos in Ukraine makes it difficult to obtain passports,especially in those areas where refugees are most fleeing the possibility of extracting passports is not a routine thing,0.9
BEL,2017,TUR,Turkey,exchange_cooperation,refugees,international_law,negative,argument_from_authority,Turkey is not respecting the fundamental principles of human rights,Turkey is not respecting the fundamental principles of human rights,0.9
BEL,2019,GBR,United Kingdom,exchange_cooperation,general_migration,general_policy,negative,no_clear_scheme,"","",0.8
BEL,2020,SYR,Syria,exchange_cooperation,refugees,integration,positive,argument_from_authority,the European Commission decided to increase its support,the European Commission decided to increase its support for refugees,0.9
BEL,2021,MLI,Mali,exchange_cooperation,general_migration,general_policy,neutral,no_clear_scheme,"","",0.8
BEL,2021,ESP,Spain,exchange_cooperation,general_migration,returns_deportation,neutral,argument_from_authority,an agreement exists between countries,An agreement exists between Spain and Morocco,0.8
BEL,2022,MAR,Morocco,exchange_cooperation,general_migration,returns_deportation,positive,argument_from_authority,our country signed a historic agreement with Morocco,our country signed a historic agreement with Morocco,0.9
HRV,2018,CAN,Canada,exchange_cooperation,general_migration,national_security,positive,argument_from_authority,the agreement makes a basis for cooperation,"because it really makes one basis for a bigger, better, deeper EU and Member States cooperation",0.9
HRV,2019,IRL,Ireland,exchange_cooperation,general_migration,general_policy,positive,argument_from_practical_reasoning,we want to be in cooperation and help the Croats who are Ireland,we want to be in cooperation and help the Croats who are Ireland,0.8
HRV,2020,CZE,Czech Republic,exchange_cooperation,general_migration,general_policy,positive,argument_from_cause_to_effect,"when we get the impression that we are in free space, that we can also reason","that we are in free space, that we can also reason",0.8
HRV,2020,GBR,United Kingdom,exchange_cooperation,general_migration,asylum_procedure,neutral,argument_from_practical_reasoning,to guarantee legal certainty for the citizens of the United Kingdom and to lay down appropriate procedures,to guarantee legal certainty for the citizens of the United Kingdom and to lay down appropriate procedures,0.9
HRV,2020,GBR,United Kingdom,exchange_cooperation,general_migration,national_security,neutral,argument_from_authority,Croatian MUP records are a legitimate source,according to the Croatian MUP records,0.9
HRV,2022,UKR,Ukraine,exchange_cooperation,refugees,allocation_of_resources,negative,argument_from_cause_to_effect,people are running from war in Ukraine,"so it will need to help anyone who comes, whether it's 20,000 people or more.",0.9
POL,2018,UKR,Ukraine,competition,economic_migrants,general_policy,negative,argument_ad_hominem,the speaker assumes the opponent has a biased or self-serving motive,Are n't you afraid,0.9
POL,2021,BLR,Belarus,competition,general_migration,national_security,neutral,argument_from_practical_reasoning,strengthening consular services will facilitate faster admission of foreigners,the faster admission of foreigners to the Polish labour market can only take place if the consular services in the east of Europe are strengthened,0.9
POL,2022,UKR,Ukraine,competition,general_migration,general_policy,negative,argument_from_authority,the situation in Ukraine is recognized as a tragedy affecting everyone,"there is a tragedy in Ukraine, but this tragedy affects all of us",0.8
POL,2022,ROU,Romania,competition,refugees,allocation_of_resources,positive,argument_from_cause_to_effect,aid expansion will cover refugees already in safe shelter,the direction of aid expansion includes and will also cover refugees who are already in other countries have found safe shelter in Romania or Hungary,0.9
POL,2022,UKR,Ukraine,competition,general_migration,general_policy,neutral,no_clear_scheme,"","",0.8
POL,2022,RUS,Russia,competition,refugees,general_policy,negative,argument_from_sign,the arrival of refugees in Poland is a sign of a broader issue,the consequences of the arrival of refugees in Poland,0.9
PRT,2017,HUN,Hungary,learning_emulation_from,refugees,international_law,negative,argument_from_practical_reasoning,we must emphasize the need for a change in the direction and a clear change in policy,we cannot let it go blank,0.9
PRT,2019,CYP,Cyprus,learning_emulation_from,general_migration,allocation_of_resources,negative,argument_from_cause_to_effect,"gold visas are only a tool of real estate speculation and, on the ride, also of corruption practices and money laundering",They'll say the fans of the vissgolds that I'm exaggerating.,0.8
PRT,2020,MOZ,Mozambique,learning_emulation_from,refugees,national_security,negative,argument_from_sign,"reports tell us that they are even subjected to rape and forced marriages, Amnesty International estimates that 350 000 people are now at risk of hunger",Amnesty International estimates that 350 000 people are now at risk of hunger in that country,0.9
PRT,2021,CHN,China,learning_emulation_from,refugees,international_law,neutral,no_clear_scheme,"","",1.0
PRT,2021,LTU,Lithuania,learning_emulation_from,general_migration,border_control,negative,argument_from_authority,The Government of Belarus carried out a hybrid attack,The Government of Belarus carried out a hybrid attack,0.8
PRT,2022,USA,United States,learning_emulation_from,general_migration,international_law,neutral,argument_from_authority,suspension of extradition agreements has been approved in many countries and recommended by the European Parliament,"which has already been approved in the United Kingdom , Germany , France , the United States of America , Canada , New Zealand and Australia , and recommended by the European Parliament",0.9
SRB,2018,GRC,Greece,neutral_reporting,general_migration,border_control,negative,argument_ad_hominem,those who say 'take them back to Greece' have a specific agenda,Why do n't you take them back to Greece ?,0.9
SRB,2019,BGR,Bulgaria,neutral_reporting,general_migration,national_security,positive,argument_from_cause_to_effect,reaching Bulgaria or Macedonia quickly brings benefits,"In just three hours you can reach Bulgaria , in just a few hours you can reach the Macedonian border and these are benefits for our citizens and for our economy .",0.8
SRB,2020,AUS,Australia,neutral_reporting,general_migration,border_control,neutral,no_clear_scheme,"","",1.0
SRB,2021,MNE,Montenegro,neutral_reporting,general_migration,general_policy,positive,no_clear_scheme,"","",1.0
SRB,2021,XKX,Kosovo,neutral_reporting,general_migration,general_policy,negative,argument_ad_hominem,Jeremic did not take any effective measures against Kosovo's unilateral declaration of independence,did not take any effective measures against Kosovo's unilateral declaration of independence,0.9
SRB,2021,HRV,Croatia,neutral_reporting,refugees,allocation_of_resources,negative,argument_from_authority,the Commissioner for Refugees and Migration is a legitimate source of information,"The Commissioner for Refugees and Migration , came out with data",0.9
PRT,2016,NGA,Nigeria,exchange_cooperation,general_migration,border_control,positive,argument_from_authority,Portugal's commitment to combating the root causes of migration,Portugal has always been committed to combating the root causes of migration,0.8
PRT,2018,MLT,Malta,exchange_cooperation,refugees,international_law,negative,argument_from_authority,EU's treaties and the Charter of Fundamental Rights of the European Union give priority to the defence of human rights,"the Treaty of Rome , the Treaty of Lisbon and the Charter of Fundamental Rights of the European Union giving priority to the defence of human rights",0.9
PRT,2020,GRC,Greece,exchange_cooperation,economic_migrants,border_control,negative,argument_from_cause_to_effect,a European policy on migration and asylum is the only one capable,because it is the only one capable,0.9
PRT,2020,GRC,Greece,exchange_cooperation,refugees,general_policy,neutral,argument_ad_hominem,Mr Ventura thinks this is a national problem,contrary to what Mr Ventura thinks,0.9
PRT,2020,GRC,Greece,exchange_cooperation,refugees,general_policy,neutral,argument_ad_hominem,Mr Ventura thinks this is a national problem,contrary to what Mr Ventura thinks,0.9
PRT,2022,RUS,Russia,exchange_cooperation,refugees,international_law,negative,argument_ad_hominem,the speaker attacks the source of an opposing position rather than the position itself,Is that the solidarity of this Europe ?,0.9
NLD,2016,TUR,Turkey,coercion_intervention_to,refugees,integration,negative,argument_from_sign,failing to meet this demand is a sign of broader issues,Turkey is also failing to meet this demand,0.9
NLD,2018,TUR,Turkey,coercion_intervention_to,general_migration,border_control,negative,argument_from_sign,a decline in the number of arrivals is a sign of something,"the decline in the number of arrivals in Greece from Turkey prior to the entry into force of the Turkey deal was already under 5,000",0.9
NLD,2019,TUR,Turkey,coercion_intervention_to,general_migration,border_control,negative,argument_from_cause_to_effect,the withdrawal of the ambassador is a consequence of the situation,This has even led to the withdrawal of the ambassador from Turkey,0.8
NLD,2020,GBR,United Kingdom,coercion_intervention_to,general_migration,general_policy,negative,argument_from_sign,a decision's implications for migrants' lives indicate broader conditions,Because what would this decision mean for their lives in the UK?,0.8
NLD,2020,JOR,Jordan,coercion_intervention_to,refugees,general_policy,negative,argument_from_analogy,Jordan has similar problems,And Jordan has similar problems right now,0.9
NLD,2022,POL,Poland,coercion_intervention_to,refugees,international_law,negative,argument_from_analogy,Poland's actions can be compared to other countries' actions,Poland 's hospitality towards the refugees from Ukraine is very commendable,0.8
AUT,2015,NLD,Netherlands,competition,refugees,allocation_of_resources,positive,argument_from_cause_to_effect,high attractiveness of countries leads to migration,precisely those countries around the world have a high attractiveness,0.9
AUT,2016,SYR,Syria,competition,refugees,general_policy,negative,argument_from_sign,investing in countries of origin has a positive effect,the value of every euro invested in the countries of origin is a multiple,0.9
AUT,2017,GBR,United Kingdom,competition,general_migration,general_policy,negative,argument_ad_hominem,the speaker believes that no one finds accession attractive,for no one and not for Britain at all,0.9
AUT,2017,UKR,Ukraine,competition,refugees,international_law,neutral,argument_from_authority,the speaker's personal experience and work on foreign and development policy,"in my second legislative period, foreign and development policy",0.8
AUT,2018,DEU,Germany,competition,general_migration,border_control,neutral,no_clear_scheme,"","",0.7
AUT,2021,SYR,Syria,competition,general_migration,border_control,negative,argument_from_sign,people from different countries are looking for asylum and crossing safe states,"people from Afghanistan, Syria or other countries in Austria are looking for asylum and crossing safe states",0.9
SRB,2018,MKD,North Macedonia,coercion_intervention_to,refugees,general_policy,negative,argument_ad_hominem,"those who come through Greece, via Turkey, through Macedonia, through Bulgaria","Those who come through Greece, via Turkey, through Macedonia, through Bulgaria",0.9
SRB,2018,IND,India,coercion_intervention_to,refugees,international_law,neutral,argument_from_sign,the arrest of criminal groups indicates a broader issue,was discovered by an eight - member criminal group involved in smuggling migrants from India and Afghanistan,0.9
SRB,2019,CHE,Switzerland,coercion_intervention_to,general_migration,general_policy,negative,argument_ad_hominem,those who are like Switzerland are not coercive,Switzerland from William Telle fired no bullets,0.8
SRB,2019,MNE,Montenegro,coercion_intervention_to,general_migration,integration,positive,argument_from_practical_reasoning,to speed up the possibility that all those who wish to gain the citizenship of the Republic of Serbia get it within six months,to speed up the possibility that all those who wish to gain the citizenship of the Republic of Serbia,0.8
SRB,2019,AUT,Austria,coercion_intervention_to,general_migration,returns_deportation,neutral,argument_from_authority,former Austrian Interior Minister Herbert Kikla,"for the first time, as a minister, I have concluded a contract with Serbia",0.8
SRB,2021,BGR,Bulgaria,coercion_intervention_to,general_migration,returns_deportation,positive,argument_from_practical_reasoning,"we want X, so we must do Y","to reach Bulgaria in average salaries by the end of this year, and that's what we end up doing for migration",0.9
PRT,2016,GRC,Greece,coercion_intervention_to,general_migration,general_policy,negative,argument_from_sign,the rising number of deaths is a sign of a broader issue,more than 1500 people have already lost their lives in the Mediterranean Sea,0.9
PRT,2018,VEN,Venezuela,coercion_intervention_to,economic_migrants,integration,neutral,argument_from_analogy,people maintain their identity regardless of location,there are Maderians living in Venezuela,0.9
PRT,2020,CHN,China,coercion_intervention_to,general_migration,general_policy,positive,argument_from_practical_reasoning,"we want to increase climate action, so we must engage in dialogue with China",or also in the incentive to focus China on the goals of the Paris Agreement,0.9
PRT,2022,UKR,Ukraine,coercion_intervention_to,refugees,allocation_of_resources,neutral,argument_from_analogy,we have seen in West Germany in 1953,as we have seen in West Germany in 1953,0.9
PRT,2022,UKR,Ukraine,coercion_intervention_to,refugees,national_security,negative,argument_from_cause_to_effect,economic sanctions to Russia naturally have a boomerang effect,These economic sanctions to Russia naturally have a boomerang effect,0.9
PRT,2022,TUR,Turkey,coercion_intervention_to,refugees,international_law,negative,argument_ad_hominem,the speaker questions the legitimacy of Turkey's actions based on perceived bad faith,Do you think the Kurds are terrorists and that is compatible with a self - determination and human rights policy?,0.9
BEL,2017,MNE,Montenegro,neutral_reporting,refugees,general_policy,neutral,argument_from_practical_reasoning,to achieve a goal of expanding the list of countries,you wanted to add three Maghreb countries,0.9
BEL,2019,PER,Peru,neutral_reporting,general_migration,visas_mobility,neutral,no_clear_scheme,"","",0.8
BEL,2020,ESH,Western Sahara,neutral_reporting,refugees,general_policy,negative,no_clear_scheme,"","",1.0
BEL,2021,AFG,Afghanistan,neutral_reporting,general_migration,returns_deportation,positive,argument_from_practical_reasoning,coherence is necessary for positive prospects,who must have positive prospects,0.9
BEL,2021,DEU,Germany,neutral_reporting,general_migration,national_security,negative,argument_ad_hominem,those who decide to flee are not doing so for the sake of security,are you not going to tell me that they are doing so for the sake of security,0.9
BEL,2022,CMR,Cameroon,neutral_reporting,students,general_policy,negative,argument_from_sign,high figures indicate a broader issue,figures and at least they are not as high,0.8
POL,2017,DEU,Germany,coercion_intervention_to,general_migration,general_policy,positive,argument_from_practical_reasoning,we want to develop such mechanisms,We also want to develop such mechanisms,0.9
POL,2021,BLR,Belarus,coercion_intervention_to,refugees,returns_deportation,negative,argument_from_authority,the agreement on readmission by Belarus of the European Union is a recognized norm,the agreement on readmission by Belarus of the European Union,0.8
POL,2021,RUS,Russia,coercion_intervention_to,general_migration,border_control,negative,no_clear_scheme,"","",0.8
POL,2022,ARM,Armenia,coercion_intervention_to,general_migration,returns_deportation,positive,no_clear_scheme,"","",1.0
POL,2022,UKR,Ukraine,coercion_intervention_to,students,integration,neutral,argument_from_cause_to_effect,provisions of this law do not include students of other nationalities,but the provisions of this law do not include students of other nationalities who also studied in Ukraine who paid tuition there,0.8
POL,2022,UKR,Ukraine,coercion_intervention_to,refugees,general_policy,neutral,argument_from_authority,we have standards for the construction of water and sewage networks,we have standards for the construction of water and sewage networks,0.8
TUR,2018,AFG,Afghanistan,competition,general_migration,general_policy,negative,argument_ad_hominem,the speaker views the opposition as lacking in freedom,support the freedom of the Afghan people,0.9
TUR,2019,IRQ,Iraq,competition,general_migration,national_security,neutral,no_clear_scheme,"","Yes , we were still tracking an operation against Iraq , but there was more to it than that.",0.8
TUR,2020,BEL,Belgium,competition,general_migration,international_law,negative,argument_from_sign,growing racism and Islamophobia threaten Europe and the world,"growing racism and Islamophobia, especially in Austria, Germany and Belgium",0.9
TUR,2021,CHN,China,competition,refugees,general_policy,neutral,no_clear_scheme,"","",0.8
TUR,2021,CHN,China,competition,general_migration,general_policy,positive,argument_from_sign,being number one in the world in terms of migration indicates a significant issue,"but if you compare it to the population, we're number one in the world.",0.9
TUR,2022,UKR,Ukraine,competition,general_migration,national_security,negative,argument_from_cause_to_effect,the war between Ukraine and Russia has created potential and problems that affect the world,"the war between Ukraine and Russia, which began on 24 February 2022, at the same time, had reached the point of explosion",0.8
AUT,2016,TUR,Turkey,coercion_intervention_to,general_migration,border_control,negative,argument_from_cause_to_effect,"without the possibility of a return to Turkey, we would have to deal with all this in Greece",without being able to influence neighbors without any influence in the matter of departure,0.9
AUT,2017,RUS,Russia,coercion_intervention_to,general_migration,allocation_of_resources,neutral,argument_from_cause_to_effect,his insights led to EU sanctions against Russia,which has just led to the EU sanctions against Russia,0.9
AUT,2019,TUR,Turkey,coercion_intervention_to,general_migration,general_policy,negative,argument_from_cause_to_effect,"the volatile situation in Turkey and instability in Iran, Syria and Afghanistan lead to increased migration pressure","The volatile situation in Turkey and instability in Iran, Syria and Afghanistan lead to increased migration pressure in Greece.",0.9
AUT,2021,DNK,Denmark,coercion_intervention_to,general_migration,international_law,negative,argument_ad_hominem,those who [are the coalition partner] are not truthful,clear rejection – that is not true with the Greens!,0.9
AUT,2021,AFG,Afghanistan,coercion_intervention_to,general_migration,returns_deportation,neutral,no_clear_scheme,"","",1.0
AUT,2022,TUN,Tunisia,coercion_intervention_to,general_migration,returns_deportation,positive,no_clear_scheme,"","",0.8
NLD,2016,MKD,North Macedonia,exchange_cooperation,general_migration,border_control,positive,argument_ad_hominem,NLD is biased towards certain countries,We must also be fair to the four countries in the Western Balkans,0.8
