parliament_a,parliament_b,policy_similarity,shared_focus,n_a_to_b,n_b_to_a,relation_type,shared_target_cohort,tension_present,tension_nature,rationale,evidence_spans,confidence
HUN,SVN,0.9854,refugees / border_control; refugees / national_security; refugees / international_law,65,262,mutual_complaint,,,,,,
NLD,AUT,0.9546,refugees / border_control; refugees / national_security; refugees / international_law,110,19,mutual_acknowledged_alignment,,,,,,
EST,LVA,0.9542,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,168,58,mutual_acknowledged_alignment,,,,,,
SVN,HRV,0.9539,refugees / border_control; refugees / national_security; economic_migrants / integration,579,150,diffusion_chain,,,,,,
BGR,CZE,0.9538,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,8,48,mutual_complaint,,,,,,
HUN,POL,0.9532,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,141,68,mutual_complaint,,,,,,
BGR,AUT,0.9523,refugees / border_control; refugees / national_security; refugees / international_law,30,29,mutual_acknowledged_alignment,,,,,,
GRC,AUT,0.9518,refugees / border_control; refugees / national_security; refugees / international_law,47,263,mutual_acknowledged_alignment,,,,,,
NOR,AUT,0.9514,refugees / border_control; refugees / national_security; refugees / international_law,13,9,mutual_acknowledged_alignment,,,,,,
GRC,SWE,0.9511,refugees / border_control; refugees / national_security; refugees / international_law,48,193,unilateral_modeling,,,,,,
POL,NOR,0.951,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,15,87,unilateral_modeling,,,,,,
NLD,ESP,0.9506,refugees / border_control; refugees / international_law; refugees / national_security,125,3,mutual_complaint,,,,,,
SWE,ESP,0.9495,refugees / border_control; refugees / international_law; refugees / national_security,17,10,mutual_complaint,,,,,,
POL,AUT,0.9488,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,24,66,mutual_acknowledged_alignment,,,,,,
GBR,BGR,0.9479,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,0,90,unilateral_modeling,,,,,,
NLD,BEL,0.947,refugees / border_control; refugees / international_law; refugees / national_security,146,407,administrative_coordination,,,,,,
ISL,EST,0.9468,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,0,1,unilateral_modeling,,,,,,
CZE,HRV,0.9465,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,23,29,mutual_acknowledged_alignment,,,,,,
LVA,AUT,0.9459,refugees / border_control; refugees / national_security; refugees / international_law,2,6,unilateral_modeling,,,,,,
GBR,SVN,0.9456,refugees / border_control; refugees / national_security; refugees / international_law,0,90,mutual_complaint,,,,,,
BGR,LVA,0.9454,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,3,1,mutual_acknowledged_alignment,,,,,,
GBR,HRV,0.9453,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,0,212,mutual_complaint,,,,,,
POL,GBR,0.945,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,314,0,unilateral_modeling,,,,,,
EST,SVN,0.9444,refugees / border_control; refugees / national_security; refugees / international_law,12,6,unilateral_modeling,,,,,,
ISL,ITA,0.9438,refugees / national_security; refugees / border_control; refugees / international_law,105,1,mutual_complaint,,,,,,
NLD,TUR,0.8503,refugees / border_control; refugees / national_security; refugees / international_law,2903,15,mutual_complaint,,,,,,
GRC,TUR,0.9169,refugees / national_security; refugees / border_control; refugees / international_law,1814,158,mutual_complaint,,,,,,
BEL,TUR,0.8043,refugees / national_security; refugees / border_control; refugees / international_law,1387,11,mutual_complaint,,,,,,
TUR,SWE,0.8792,refugees / national_security; refugees / border_control; refugees / international_law,16,1022,mutual_complaint,,,,,,
BEL,GRC,0.8959,refugees / border_control; refugees / national_security; refugees / international_law,812,36,mutual_acknowledged_alignment,,,,,,
TUR,CZE,0.9031,refugees / national_security; refugees / border_control; refugees / allocation_of_resources,0,690,administrative_coordination,,,,,,
GRC,NOR,0.9153,refugees / border_control; refugees / national_security; refugees / international_law,20,649,mutual_acknowledged_alignment,,,,,,
NLD,GBR,0.88,refugees / border_control; refugees / national_security; refugees / international_law,630,0,unilateral_modeling,,,,,,
BEL,GBR,0.8502,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,590,0,unilateral_modeling,,,,,,
TUR,BGR,0.9391,refugees / national_security; refugees / border_control; refugees / international_law,73,512,mutual_complaint,,,,,,
SWE,FIN,0.8857,refugees / border_control; refugees / national_security; refugees / international_law,116,454,unilateral_modeling,,,,,,
BEL,ITA,0.8642,refugees / national_security; refugees / border_control; refugees / international_law,544,11,diffusion_chain,,,,,,
