source,target,n_forward,n_reverse,ratio,primary_driver,secondary_driver,confidence,rationale,evidence_spans
ISL,GRC,384,0,384.0,crisis_visibility,,,"ISL frequently mentions GRC, likely due to GRC being a significant site for refugee crises, which ISL parliamentarians discuss in relation to immigration policies and conditions for refugees.",
HUN,DEU,378,0,378.0,diaspora_or_historical_ties,,,"The frequent mentions of German-Hungarian connections, especially regarding immigration and political influence, suggest strong historical and diaspora ties between the two countries.",
BEL,SDN,376,0,376.0,crisis_visibility,,,"The mentions are focused on Sudan's human rights issues, particularly torture, indicating Sudan as a high-salience migration crisis site for Belgium.",
NLD,CUW,372,0,372.0,diaspora_or_historical_ties,,,"The mentions are related to Aruba and Curaçao, which are Dutch Caribbean territories with significant historical and cultural ties to the Netherlands, explaining the asymmetry.",
FIN,IRQ,371,0,371.0,diaspora_or_historical_ties,,,"The frequent mentions of Finland's involvement in Iraq, particularly regarding refugees and training missions, suggest strong historical or diaspora ties influencing Finnish discourse.",
ESP,MAR,365,0,365.0,crisis_visibility,,,The frequent mentions of Moroccan immigrants entering Spain irregularly and the tension over immigration policy indicate that Morocco is a significant and visible migration crisis site for Spain.,
GRC,USA,356,0,356.0,diaspora_or_historical_ties,,,"The frequent mentions of American cities like Chicago and Toronto, and the emphasis on Greek-American communities, indicate strong historical and diaspora ties between Greece and the USA.",
GRC,DEU,355,0,355.0,diaspora_or_historical_ties,,,"The mentions are from Greek immigrants in Germany, indicating strong historical and diaspora ties between the two countries.",
CZE,SYR,350,0,350.0,crisis_visibility,,,"The mentions are focused on Syria's refugee crisis, indicating that Syria is a high-salience migration crisis site for Czech discussions.",
GBR,LBY,349,0,349.0,crisis_visibility,,,"GBR frequently mentions LBY in the context of migration and law enforcement issues, indicating LBY's visibility as a crisis site, particularly for migration.",
POL,BLR,348,0,348.0,crisis_visibility,,,"POL talks extensively about BLR, mentioning issues like migration agreements and political disputes, indicating BLR's visibility as a crisis site.",
BEL,AFG,344,0,344.0,crisis_visibility,,,"The mentions are focused on Afghanistan's role as a country of origin for asylum seekers, indicating it is a high-salience migration crisis site.",
BEL,MAR,340,0,340.0,crisis_visibility,,,"The frequent mentions of Morocco in Belgian parliament discussions, particularly regarding migration, indicate that Morocco is a significant site for migration crises, making it highly visible in Belgian political discourse.",
SWE,DNK,339,0,339.0,diaspora_or_historical_ties,,,"The frequent mentions of Sweden (SWE) by Denmark (DNK) suggest strong historical and cultural ties, particularly given the proximity and shared labor market between the two countries.",
HRV,DEU,338,0,338.0,diaspora_or_historical_ties,,,"The mentions predominantly refer to German workers and laws in Croatia, indicating a significant German diaspora or historical ties influencing Croatian discourse.",
BEL,LBY,336,0,336.0,crisis_visibility,,,"The frequent mentions of Libya (LBY) by BEL indicate a focus on the migration crisis there, which aligns with the 'crisis_visibility' driver.",
NOR,RUS,331,0,331.0,border_proximity,,,"NORway frequently mentions RUSsia due to the shared border, which likely influences discussions on immigration and sanctions.",
NLD,AFG,317,0,317.0,crisis_visibility,,,"The mentions are focused on Afghanistan's refugee crisis, indicating it is a high-salience migration issue for the parliament.",
ISL,USA,314,0,314.0,diaspora_or_historical_ties,,,"ISL mentions USA frequently, likely due to significant Icelandic diaspora in the US and historical ties, while USA does not mention ISL, indicating minimal reciprocal interest or interaction.",
POL,GBR,314,0,314.0,historical_memory,,,"The mentions are primarily related to historical events and post-colonial labor migration, indicating a long-standing reference to historical memory and past relationships.",
SWE,UKR,309,0,309.0,EU_accession_governance,,,"Sweden discusses Ukraine's application for EU membership and support, indicating the EU accession process as a key driver of the asymmetry.",
NLD,LBN,309,0,309.0,crisis_visibility,,,"The mentions focus on Lebanon's role as a host country for refugees, indicating its visibility as a crisis site.",
NOR,UKR,295,0,295.0,crisis_visibility,,,"NORway frequently mentions UKR because of the significant refugee crisis from Ukraine, with multiple references to aid and接纳难民。UKR几乎没有提及NOR，这表明NOR在应对乌克兰危机方面发挥了重要作用，使其成为讨论焦点。",
BEL,LBN,294,0,294.0,crisis_visibility,,,"The mentions focus on refugees and camps in Lebanon, indicating a significant migration crisis involving Lebanon, which explains the asymmetry.",
ISL,DNK,293,0,293.0,diaspora_or_historical_ties,,,"The frequent mentions of Iceland (ISL) by Denmark (DNK) suggest strong historical or diaspora ties, given the detailed references to Icelandic society and policies without any corresponding mentions from Denmark.",
AUT,SYR,287,0,287.0,crisis_visibility,,,"AUT mentions SYR frequently, focusing on the Syrian crisis, indicating SYR's high salience as a migration crisis site.",
