source,target,n,rule_based_label,positioning,confidence,rationale,evidence_span
BEL,AFG,136,coercion_intervention_to,object_of_pressure,,,
AUT,DEU,135,learning_emulation_from,cooperation_partner,,,
CZE,SYR,135,learning_emulation_from,neutral_reference,,,
POL,BLR,130,coercion_intervention_to,object_of_pressure,,,
ESP,TUR,128,exchange_cooperation,cooperation_partner,,,
HRV,DEU,126,learning_emulation_from,cooperation_partner,,,
EST,FIN,126,learning_emulation_from,model_to_emulate,,,
SVN,ITA,124,learning_emulation_from,cooperation_partner,,,
ISL,DNK,124,learning_emulation_from,model_to_emulate,,,
FIN,TUR,124,exchange_cooperation,cooperation_partner,,,
HUN,TUR,124,exchange_cooperation,cooperation_partner,,,
GRC,DEU,123,learning_emulation_from,cooperation_partner,,,
SVN,GRC,123,learning_emulation_from,object_of_pressure,,,
HUN,UKR,120,learning_emulation_from,learning_emulation_from,,,
BEL,IRQ,119,learning_emulation_from,cooperation_partner,,,
SWE,DNK,118,learning_emulation_from,model_to_emulate,,,
NLD,CUW,117,learning_emulation_from,object_of_pressure,,,
HRV,TUR,117,exchange_cooperation,cooperation_partner,,,
ISL,USA,117,learning_emulation_from,learning_emulation_from,,,
SVN,TUR,116,exchange_cooperation,object_of_pressure,,,
HUN,USA,116,coercion_intervention_to,cooperation_partner,,,
GBR,LBY,116,coercion_intervention_to,,,,
HUN,SRB,114,learning_emulation_from,object_of_pressure,,,
HRV,SRB,113,learning_emulation_from,learning_emulation_from,,"The mentions indicate that HRV (Croatia) looks at SRB (Serbia) as a reference point for certain actions and policies, such as vaccine distribution and lobbying for EU and NATO membership. While there are some negative connotations, the overall tone suggests emulation rather than criticism.",
SVN,HUN,111,learning_emulation_from,learning_emulation_from,,,
ISL,GRC,110,learning_emulation_from,object_of_pressure,,,
NOR,UKR,110,learning_emulation_from,cooperation_partner,,,
FRA,GBR,110,exchange_cooperation,cooperation_partner,,,
NOR,GBR,107,exchange_cooperation,cooperation_partner,,,
AUT,GRC,106,coercion_intervention_to,object_of_pressure,,,
HUN,AUT,106,learning_emulation_from,cooperation_partner,,,
HUN,GRC,105,learning_emulation_from,object_of_pressure,,,
SWE,UKR,102,coercion_intervention_to,object_of_pressure,,,
NOR,SWE,101,learning_emulation_from,cooperation_partner,,,
BEL,USA,100,learning_emulation_from,object_of_pressure,,,
NLD,UKR,100,coercion_intervention_to,object_of_pressure,,,
POL,DEU,98,learning_emulation_from,cooperation_partner,,,
GRC,SYR,98,learning_emulation_from,object_of_pressure,,,
NLD,LBN,98,learning_emulation_from,learning_emulation_from,,,
NLD,AFG,98,learning_emulation_from,object_of_pressure,,,
EST,TUR,97,exchange_cooperation,cooperation_partner,,,
HUN,GBR,96,learning_emulation_from,cooperation_partner,,,
SWE,LBY,95,learning_emulation_from,cooperation_partner,,,
FIN,AFG,94,learning_emulation_from,object_of_pressure,,,
BGR,GRC,90,coercion_intervention_to,object_of_pressure,,,
BEL,LBN,89,learning_emulation_from,neutral_reference,,,
FIN,DNK,87,learning_emulation_from,model_to_emulate,,,
